userid,tran_sequence_number
U000305,TXN20250107001076
U000682,TXN20250106001077
U000426,TXN20250325001078
U000742,TXN20250103001079
U000381,TXN20250130001080
U000090,TXN20250126001081
U000131,TXN20250211001082
U000006,TXN20250107001083
U000423,TXN20250103001084
U000607,TXN20250103001085
U000818,TXN20250316001086
U000324,TXN20250129001087
U000162,TXN20250112001088
U000109,TXN20250215001089
U000513,TXN20250219001090
U000795,TXN20250109001091
U000436,TXN20250114001092
U000439,TXN20250302001093
U000614,TXN20250109001094
U000570,TXN20250219001095
U000343,TXN20250330001096
U000137,TXN20250214001097
U000587,TXN20250214001098
U000412,TXN20250205001099
U000484,TXN20250101001100
U000614,TXN20250125001101
U000612,TXN20250104001102
U000342,TXN20250316001103
U000708,TXN20250125001104
U000709,TXN20250203001105
U000792,TXN20250307001106
U000539,TXN20250206001107
U000023,TXN20250110001108
U000011,TXN20250113001109
U000038,TXN20250118001110
U000079,TXN20250115001111
U000095,TXN20250122001112
U000078,TXN20250116001113
U000270,TXN20250115001114
U000052,TXN20250205001115
U000574,TXN20250209001116
U000420,TXN20250211001117
U000047,TXN20250206001118
U000626,TXN20250201001119
U000309,TXN20250211001120
U000452,TXN20250206001121
U000108,TXN20250207001122
U000804,TXN20250106001123
U000456,TXN20250130001124
U000423,TXN20250330001125
U000150,TXN20250204001126
U000486,TXN20250111001127
U000206,TXN20250204001128
U000104,TXN20250306001129
U000509,TXN20250128001130
U000581,TXN20250209001131
U000462,TXN20250102001132
U000785,TXN20250101001133
U000138,TXN20250301001134
U000441,TXN20250101001135
U000120,TXN20250311001136
U000443,TXN20250213001137
U000291,TXN20250324001138
U000645,TXN20250228001139
U000193,TXN20250323001140
U000705,TXN20250210001141
U000239,TXN20250126001142
U000239,TXN20250329001143
U000619,TXN20250307001144
U000811,TXN20250118001145
U000015,TXN20250206001146
U000761,TXN20250120001147
U000791,TXN20250109001148
U000155,TXN20250304001149
U000593,TXN20250129001150
U000428,TXN20250116001151
U000822,TXN20250214001152
U000639,TXN20250114001153
U000153,TXN20250211001154
U000727,TXN20250128001155
U000367,TXN20250302001156
U000250,TXN20250210001157
U000118,TXN20250312001158
U000638,TXN20250102001159
U000169,TXN20250319001160
U000202,TXN20250120001161
U000136,TXN20250306001162
U000032,TXN20250314001163
U000165,TXN20250120001164
U000838,TXN20250325001165
U000504,TXN20250323001166
U000397,TXN20250222001167
U000466,TXN20250304001168
U000818,TXN20250120001169
U000101,TXN20250125001170
U000687,TXN20250217001171
U000042,TXN20250219001172
U000280,TXN20250314001173
U000289,TXN20250217001174
U000848,TXN20250317001175
U000114,TXN20250304001176
U000811,TXN20250318001177
U000541,TXN20250206001178
U000771,TXN20250102001179
U000657,TXN20250327001180
U000688,TXN20250110001181
U000067,TXN20250221001182
U000138,TXN20250226001183
U000433,TXN20250309001184
U000332,TXN20250121001185
U000335,TXN20250313001186
U000337,TXN20250123001187
U000049,TXN20250328001188
U000600,TXN20250306001189
U000630,TXN20250318001190
U000384,TXN20250305001191
U000381,TXN20250130001192
U000833,TXN20250226001193
U000126,TXN20250228001194
U000659,TXN20250103001195
U000241,TXN20250223001196
U000323,TXN20250107001197
U000374,TXN20250331001198
U000367,TXN20250302001199
U000428,TXN20250201001200
U000714,TXN20250117001201
U000302,TXN20250330001202
U000036,TXN20250324001203
U000636,TXN20250212001204
U000699,TXN20250221001205
U000372,TXN20250212001206
U000161,TXN20250304001207
U000062,TXN20250215001208
U000042,TXN20250101001209
U000694,TXN20250302001210
U000131,TXN20250326001211
U000664,TXN20250224001212
U000372,TXN20250114001213
U000719,TXN20250307001214
U000730,TXN20250204001215
U000039,TXN20250112001216
U000166,TXN20250306001217
U000025,TXN20250304001218
U000296,TXN20250105001219
U000445,TXN20250102001220
U000271,TXN20250218001221
U000188,TXN20250128001222
U000228,TXN20250129001223
U000438,TXN20250325001224
U000431,TXN20250226001225
U000684,TXN20250203001226
U000467,TXN20250226001227
U000171,TXN20250206001228
U000220,TXN20250218001229
U000221,TXN20250123001230
U000679,TXN20250131001231
U000817,TXN20250109001232
U000451,TXN20250209001233
U000009,TXN20250111001234
U000761,TXN20250118001235
U000766,TXN20250111001236
U000632,TXN20250227001237
U000449,TXN20250129001238
U000160,TXN20250221001239
U000574,TXN20250221001240
U000036,TXN20250220001241
U000614,TXN20250316001242
U000648,TXN20250217001243
U000297,TXN20250106001244
U000063,TXN20250102001245
U000391,TXN20250329001246
U000229,TXN20250206001247
U000103,TXN20250129001248
U000316,TXN20250320001249
U000159,TXN20250106001250
U000692,TXN20250120001251
U000410,TXN20250106001252
U000379,TXN20250127001253
U000743,TXN20250117001254
U000717,TXN20250125001255
U000095,TXN20250312001256
U000205,TXN20250330001257
U000203,TXN20250212001258
U000183,TXN20250228001259
U000046,TXN20250331001260
U000672,TXN20250111001261
U000202,TXN20250304001262
U000841,TXN20250317001263
U000822,TXN20250115001264
U000601,TXN20250305001265
U000034,TXN20250211001266
U000471,TXN20250323001267
U000081,TXN20250224001268
U000659,TXN20250224001269
U000680,TXN20250131001270
U000447,TXN20250208001271
U000192,TXN20250320001272
U000720,TXN20250323001273
U000219,TXN20250301001274
U000272,TXN20250226001275
U000609,TXN20250224001276
U000818,TXN20250105001277
U000103,TXN20250320001278
U000526,TXN20250117001279
U000073,TXN20250303001280
U000276,TXN20250315001281
U000111,TXN20250219001282
U000028,TXN20250226001283
U000094,TXN20250112001284
U000303,TXN20250314001285
U000078,TXN20250126001286
U000480,TXN20250223001287
U000682,TXN20250114001288
U000298,TXN20250304001289
U000397,TXN20250205001290
U000160,TXN20250209001291
U000678,TXN20250222001292
U000032,TXN20250202001293
U000676,TXN20250101001294
U000411,TXN20250125001295
U000608,TXN20250301001296
U000110,TXN20250225001297
U000484,TXN20250112001298
U000829,TXN20250222001299
U000497,TXN20250109001300
U000082,TXN20250104001301
U000110,TXN20250315001302
U000159,TXN20250214001303
U000579,TXN20250123001304
U000064,TXN20250212001305
U000071,TXN20250221001306
U000739,TXN20250223001307
U000439,TXN20250114001308
U000517,TXN20250110001309
U000596,TXN20250105001310
U000453,TXN20250225001311
U000202,TXN20250327001312
U000148,TXN20250106001313
U000268,TXN20250111001314
U000160,TXN20250323001315
U000749,TXN20250131001316
U000449,TXN20250219001317
U000724,TXN20250330001318
U000668,TXN20250121001319
U000754,TXN20250221001320
U000817,TXN20250101001321
U000352,TXN20250208001322
U000164,TXN20250129001323
U000434,TXN20250322001324
U000206,TXN20250205001325
U000250,TXN20250219001326
U000150,TXN20250330001327
U000172,TXN20250223001328
U000594,TXN20250326001329
U000210,TXN20250201001330
U000717,TXN20250130001331
U000296,TXN20250118001332
U000832,TXN20250328001333
U000235,TXN20250227001334
U000546,TXN20250330001335
U000753,TXN20250121001336
U000661,TXN20250131001337
U000771,TXN20250118001338
U000557,TXN20250308001339
U000010,TXN20250227001340
U000208,TXN20250205001341
U000111,TXN20250204001342
U000689,TXN20250325001343
U000685,TXN20250119001344
U000039,TXN20250225001345
U000534,TXN20250331001346
U000485,TXN20250328001347
U000602,TXN20250324001348
U000485,TXN20250216001349
U000217,TXN20250226001350
U000450,TXN20250217001351
U000613,TXN20250226001352
U000229,TXN20250211001353
U000193,TXN20250129001354
U000039,TXN20250207001355
U000308,TXN20250126001356
U000760,TXN20250314001357
U000253,TXN20250206001358
U000309,TXN20250305001359
U000064,TXN20250112001360
U000802,TXN20250301001361
U000368,TXN20250117001362
U000119,TXN20250104001363
U000844,TXN20250224001364
U000149,TXN20250216001365
U000823,TXN20250306001366
U000432,TXN20250111001367
U000713,TXN20250216001368
U000563,TXN20250225001369
U000485,TXN20250306001370
U000587,TXN20250319001371
U000205,TXN20250106001372
U000090,TXN20250201001373
U000611,TXN20250225001374
U000329,TXN20250331001375
U000705,TXN20250126001376
U000723,TXN20250111001377
U000531,TXN20250107001378
U000284,TXN20250123001379
U000641,TXN20250126001380
U000458,TXN20250309001381
U000181,TXN20250207001382
U000738,TXN20250101001383
U000153,TXN20250309001384
U000110,TXN20250227001385
U000479,TXN20250316001386
U000686,TXN20250104001387
U000010,TXN20250317001388
U000675,TXN20250114001389
U000433,TXN20250325001390
U000187,TXN20250128001391
U000773,TXN20250108001392
U000147,TXN20250207001393
U000064,TXN20250331001394
U000101,TXN20250215001395
U000363,TXN20250305001396
U000744,TXN20250307001397
U000063,TXN20250222001398
U000192,TXN20250126001399
U000169,TXN20250331001400
U000689,TXN20250119001401
U000359,TXN20250212001402
U000602,TXN20250126001403
U000237,TXN20250314001404
U000837,TXN20250102001405
U000251,TXN20250304001406
U000581,TXN20250101001407
U000447,TXN20250127001408
U000848,TXN20250219001409
U000799,TXN20250205001410
U000791,TXN20250214001411
U000001,TXN20250115001412
U000772,TXN20250227001413
U000709,TXN20250129001414
U000699,TXN20250221001415
U000097,TXN20250218001416
U000411,TXN20250105001417
U000642,TXN20250222001418
U000159,TXN20250322001419
U000435,TXN20250202001420
U000382,TXN20250201001421
U000730,TXN20250113001422
U000034,TXN20250104001423
U000765,TXN20250103001424
U000447,TXN20250227001425
U000615,TXN20250117001426
U000522,TXN20250216001427
U000475,TXN20250214001428
U000722,TXN20250118001429
U000833,TXN20250317001430
U000678,TXN20250324001431
U000404,TXN20250123001432
U000021,TXN20250327001433
U000563,TXN20250127001434
U000011,TXN20250221001435
U000137,TXN20250215001436
U000121,TXN20250128001437
U000435,TXN20250326001438
U000775,TXN20250201001439
U000810,TXN20250318001440
U000729,TXN20250327001441
U000587,TXN20250111001442
U000539,TXN20250224001443
U000401,TXN20250208001444
U000587,TXN20250201001445
U000539,TXN20250215001446
U000119,TXN20250210001447
U000575,TXN20250324001448
U000399,TXN20250130001449
U000029,TXN20250215001450
U000465,TXN20250201001451
U000419,TXN20250101001452
U000256,TXN20250109001453
U000182,TXN20250306001454
U000315,TXN20250110001455
U000739,TXN20250226001456
U000085,TXN20250117001457
U000125,TXN20250326001458
U000615,TXN20250324001459
U000317,TXN20250319001460
U000393,TXN20250316001461
U000516,TXN20250330001462
U000146,TXN20250205001463
U000134,TXN20250216001464
U000238,TXN20250121001465
U000500,TXN20250117001466
U000382,TXN20250301001467
U000010,TXN20250214001468
U000593,TXN20250114001469
U000648,TXN20250120001470
U000703,TXN20250222001471
U000779,TXN20250227001472
U000659,TXN20250102001473
U000843,TXN20250112001474
U000291,TXN20250210001475
U000252,TXN20250122001476
U000042,TXN20250329001477
U000338,TXN20250223001478
U000111,TXN20250306001479
U000664,TXN20250330001480
U000312,TXN20250129001481
U000282,TXN20250221001482
U000835,TXN20250124001483
U000135,TXN20250228001484
U000694,TXN20250213001485
U000179,TXN20250309001486
U000398,TXN20250221001487
U000703,TXN20250215001488
U000405,TXN20250103001489
U000277,TXN20250312001490
U000183,TXN20250215001491
U000230,TXN20250329001492
U000105,TXN20250328001493
U000326,TXN20250108001494
U000168,TXN20250103001495
U000076,TXN20250104001496
U000847,TXN20250217001497
U000241,TXN20250116001498
U000022,TXN20250314001499
U000836,TXN20250323001500
U000620,TXN20250326001501
U000819,TXN20250203001502
U000034,TXN20250207001503
U000823,TXN20250127001504
U000266,TXN20250228001505
U000207,TXN20250302001506
U000663,TXN20250227001507
U000637,TXN20250312001508
U000063,TXN20250101001509
U000010,TXN20250222001510
U000242,TXN20250330001511
U000259,TXN20250324001512
U000827,TXN20250302001513
U000689,TXN20250314001514
U000003,TXN20250301001515
U000672,TXN20250311001516
U000763,TXN20250120001517
U000091,TXN20250317001518
U000561,TXN20250224001519
U000288,TXN20250112001520
U000701,TXN20250129001521
U000364,TXN20250121001522
U000793,TXN20250123001523
U000572,TXN20250225001524
U000025,TXN20250120001525
U000033,TXN20250122001526
U000802,TXN20250301001527
U000331,TXN20250311001528
U000299,TXN20250106001529
U000453,TXN20250206001530
U000414,TXN20250331001531
U000488,TXN20250330001532
U000010,TXN20250111001533
U000307,TXN20250124001534
U000713,TXN20250125001535
U000093,TXN20250102001536
U000622,TXN20250318001537
U000765,TXN20250118001538
U000113,TXN20250103001539
U000699,TXN20250208001540
U000382,TXN20250307001541
U000026,TXN20250113001542
U000711,TXN20250301001543
U000144,TXN20250202001544
U000783,TXN20250304001545
U000029,TXN20250117001546
U000471,TXN20250129001547
U000774,TXN20250310001548
U000432,TXN20250123001549
U000034,TXN20250307001550
U000400,TXN20250221001551
U000547,TXN20250225001552
U000552,TXN20250223001553
U000211,TXN20250124001554
U000619,TXN20250211001555
U000697,TXN20250125001556
U000593,TXN20250302001557
U000552,TXN20250115001558
U000758,TXN20250116001559
U000484,TXN20250129001560
U000622,TXN20250329001561
U000188,TXN20250311001562
U000215,TXN20250114001563
U000121,TXN20250221001564
U000528,TXN20250311001565
U000049,TXN20250303001566
U000117,TXN20250128001567
U000157,TXN20250309001568
U000334,TXN20250210001569
U000670,TXN20250131001570
U000368,TXN20250101001571
U000152,TXN20250117001572
U000704,TXN20250122001573
U000415,TXN20250224001574
U000052,TXN20250123001575
U000735,TXN20250203001576
U000829,TXN20250202001577
U000824,TXN20250330001578
U000057,TXN20250315001579
U000803,TXN20250121001580
U000288,TXN20250228001581
U000475,TXN20250102001582
U000265,TXN20250315001583
U000739,TXN20250113001584
U000669,TXN20250204001585
U000588,TXN20250211001586
U000433,TXN20250131001587
U000289,TXN20250324001588
U000180,TXN20250301001589
U000316,TXN20250209001590
U000517,TXN20250131001591
U000197,TXN20250303001592
U000288,TXN20250319001593
U000168,TXN20250217001594
U000820,TXN20250326001595
U000312,TXN20250309001596
U000094,TXN20250330001597
U000112,TXN20250219001598
U000025,TXN20250301001599
U000220,TXN20250214001600
U000648,TXN20250331001601
U000640,TXN20250118001602
U000706,TXN20250102001603
U000353,TXN20250208001604
U000496,TXN20250107001605
U000309,TXN20250304001606
U000346,TXN20250219001607
U000182,TXN20250208001608
U000750,TXN20250208001609
U000845,TXN20250128001610
U000740,TXN20250121001611
U000579,TXN20250204001612
U000014,TXN20250207001613
U000836,TXN20250315001614
U000247,TXN20250331001615
U000564,TXN20250208001616
U000211,TXN20250223001617
U000668,TXN20250116001618
U000234,TXN20250114001619
U000659,TXN20250304001620
U000485,TXN20250125001621
U000268,TXN20250331001622
U000358,TXN20250107001623
U000375,TXN20250120001624
U000813,TXN20250123001625
U000268,TXN20250328001626
U000157,TXN20250131001627
U000568,TXN20250226001628
U000624,TXN20250303001629
U000057,TXN20250101001630
U000178,TXN20250306001631
U000393,TXN20250301001632
U000061,TXN20250228001633
U000086,TXN20250218001634
U000759,TXN20250204001635
U000521,TXN20250116001636
U000771,TXN20250312001637
U000720,TXN20250105001638
U000233,TXN20250113001639
U000829,TXN20250209001640
U000530,TXN20250126001641
U000348,TXN20250103001642
U000827,TXN20250104001643
U000536,TXN20250227001644
U000732,TXN20250227001645
U000524,TXN20250203001646
U000633,TXN20250303001647
U000523,TXN20250210001648
U000003,TXN20250320001649
U000395,TXN20250321001650
U000468,TXN20250306001651
U000493,TXN20250113001652
U000411,TXN20250117001653
U000414,TXN20250314001654
U000646,TXN20250326001655
U000576,TXN20250106001656
U000688,TXN20250316001657
U000224,TXN20250209001658
U000524,TXN20250202001659
U000261,TXN20250222001660
U000115,TXN20250202001661
U000089,TXN20250122001662
U000664,TXN20250209001663
U000046,TXN20250103001664
U000022,TXN20250118001665
U000303,TXN20250309001666
U000057,TXN20250312001667
U000249,TXN20250112001668
U000065,TXN20250216001669
U000211,TXN20250321001670
U000825,TXN20250111001671
U000281,TXN20250115001672
U000302,TXN20250310001673
U000818,TXN20250308001674
U000449,TXN20250111001675
U000701,TXN20250216001676
U000009,TXN20250310001677
U000656,TXN20250203001678
U000801,TXN20250112001679
U000162,TXN20250104001680
U000743,TXN20250205001681
U000168,TXN20250215001682
U000461,TXN20250331001683
U000767,TXN20250213001684
U000796,TXN20250311001685
U000154,TXN20250312001686
U000095,TXN20250323001687
U000836,TXN20250119001688
U000446,TXN20250318001689
U000850,TXN20250304001690
U000407,TXN20250208001691
U000568,TXN20250129001692
U000326,TXN20250124001693
U000372,TXN20250105001694
U000118,TXN20250117001695
U000277,TXN20250312001696
U000558,TXN20250327001697
U000125,TXN20250226001698
U000770,TXN20250221001699
U000120,TXN20250201001700
U000371,TXN20250110001701
U000091,TXN20250121001702
U000212,TXN20250306001703
U000550,TXN20250113001704
U000707,TXN20250320001705
U000307,TXN20250326001706
U000754,TXN20250201001707
U000622,TXN20250107001708
U000733,TXN20250310001709
U000009,TXN20250221001710
U000456,TXN20250224001711
U000385,TXN20250323001712
U000161,TXN20250115001713
U000507,TXN20250223001714
U000535,TXN20250228001715
U000307,TXN20250317001716
U000207,TXN20250307001717
U000776,TXN20250104001718
U000645,TXN20250322001719
U000346,TXN20250212001720
U000410,TXN20250319001721
U000559,TXN20250102001722
U000827,TXN20250202001723
U000119,TXN20250127001724
U000390,TXN20250202001725
U000121,TXN20250316001726
U000833,TXN20250218001727
U000309,TXN20250207001728
U000637,TXN20250114001729
U000349,TXN20250224001730
U000276,TXN20250116001731
U000190,TXN20250118001732
U000135,TXN20250129001733
U000719,TXN20250103001734
U000394,TXN20250311001735
U000127,TXN20250206001736
U000052,TXN20250110001737
U000389,TXN20250109001738
U000507,TXN20250117001739
U000122,TXN20250122001740
U000264,TXN20250225001741
U000257,TXN20250312001742
U000493,TXN20250315001743
U000091,TXN20250218001744
U000418,TXN20250304001745
U000125,TXN20250101001746
U000655,TXN20250218001747
U000629,TXN20250115001748
U000373,TXN20250111001749
U000474,TXN20250316001750
U000845,TXN20250310001751
U000016,TXN20250107001752
U000132,TXN20250203001753
U000151,TXN20250310001754
U000644,TXN20250320001755
U000501,TXN20250311001756
U000289,TXN20250327001757
U000545,TXN20250219001758
U000173,TXN20250321001759
U000717,TXN20250317001760
U000034,TXN20250130001761
U000106,TXN20250307001762
U000152,TXN20250125001763
U000715,TXN20250103001764
U000434,TXN20250318001765
U000850,TXN20250301001766
U000294,TXN20250307001767
U000277,TXN20250318001768
U000045,TXN20250306001769
U000240,TXN20250315001770
U000673,TXN20250114001771
U000196,TXN20250317001772
U000338,TXN20250322001773
U000288,TXN20250223001774
U000018,TXN20250315001775
U000013,TXN20250319001776
U000770,TXN20250227001777
U000603,TXN20250216001778
U000557,TXN20250124001779
U000569,TXN20250205001780
U000245,TXN20250324001781
U000551,TXN20250104001782
U000422,TXN20250221001783
U000834,TXN20250313001784
U000557,TXN20250102001785
U000356,TXN20250302001786
U000561,TXN20250307001787
U000057,TXN20250214001788
U000819,TXN20250331001789
U000808,TXN20250226001790
U000628,TXN20250327001791
U000580,TXN20250108001792
U000026,TXN20250204001793
U000598,TXN20250317001794
U000303,TXN20250325001795
U000430,TXN20250205001796
U000427,TXN20250218001797
U000434,TXN20250318001798
U000047,TXN20250322001799
U000647,TXN20250225001800
U000526,TXN20250128001801
U000618,TXN20250302001802
U000449,TXN20250226001803
U000193,TXN20250118001804
U000624,TXN20250204001805
U000823,TXN20250102001806
U000603,TXN20250322001807
U000492,TXN20250102001808
U000321,TXN20250121001809
U000361,TXN20250330001810
U000325,TXN20250127001811
U000424,TXN20250309001812
U000787,TXN20250322001813
U000845,TXN20250127001814
U000780,TXN20250119001815
U000157,TXN20250331001816
U000320,TXN20250311001817
U000155,TXN20250112001818
U000838,TXN20250110001819
U000587,TXN20250201001820
U000843,TXN20250107001821
U000207,TXN20250221001822
U000378,TXN20250324001823
U000010,TXN20250217001824
U000378,TXN20250201001825
U000242,TXN20250303001826
U000691,TXN20250313001827
U000372,TXN20250305001828
U000419,TXN20250117001829
U000536,TXN20250213001830
U000760,TXN20250301001831
U000224,TXN20250125001832
U000348,TXN20250322001833
U000025,TXN20250131001834
U000497,TXN20250203001835
U000038,TXN20250220001836
U000220,TXN20250304001837
U000801,TXN20250117001838
U000052,TXN20250116001839
U000545,TXN20250224001840
U000579,TXN20250101001841
U000658,TXN20250222001842
U000240,TXN20250228001843
U000551,TXN20250104001844
U000337,TXN20250202001845
U000036,TXN20250101001846
U000031,TXN20250121001847
U000071,TXN20250312001848
U000655,TXN20250308001849
U000446,TXN20250205001850
U000624,TXN20250307001851
U000249,TXN20250127001852
U000599,TXN20250107001853
U000240,TXN20250226001854
U000072,TXN20250306001855
U000461,TXN20250316001856
U000202,TXN20250128001857
U000720,TXN20250210001858
U000831,TXN20250328001859
U000348,TXN20250318001860
U000006,TXN20250214001861
U000795,TXN20250113001862
U000722,TXN20250126001863
U000488,TXN20250303001864
U000797,TXN20250131001865
U000634,TXN20250324001866
U000599,TXN20250317001867
U000025,TXN20250210001868
U000772,TXN20250118001869
U000612,TXN20250308001870
U000123,TXN20250206001871
U000069,TXN20250102001872
U000013,TXN20250105001873
U000733,TXN20250225001874
U000813,TXN20250309001875
U000237,TXN20250309001876
U000568,TXN20250108001877
U000075,TXN20250305001878
U000641,TXN20250329001879
U000409,TXN20250325001880
U000184,TXN20250321001881
U000226,TXN20250214001882
U000828,TXN20250328001883
U000464,TXN20250227001884
U000489,TXN20250122001885
U000301,TXN20250326001886
U000536,TXN20250308001887
U000836,TXN20250306001888
U000375,TXN20250307001889
U000151,TXN20250221001890
U000330,TXN20250326001891
U000076,TXN20250323001892
U000797,TXN20250213001893
U000728,TXN20250321001894
U000148,TXN20250321001895
U000520,TXN20250115001896
U000245,TXN20250128001897
U000285,TXN20250110001898
U000611,TXN20250323001899
U000645,TXN20250213001900
U000298,TXN20250120001901
U000648,TXN20250316001902
U000253,TXN20250116001903
U000714,TXN20250212001904
U000114,TXN20250311001905
U000408,TXN20250120001906
U000048,TXN20250220001907
U000742,TXN20250202001908
U000599,TXN20250219001909
U000737,TXN20250316001910
U000603,TXN20250322001911
U000273,TXN20250122001912
U000719,TXN20250310001913
U000103,TXN20250130001914
U000426,TXN20250325001915
U000671,TXN20250117001916
U000819,TXN20250311001917
U000442,TXN20250104001918
U000377,TXN20250112001919
U000609,TXN20250112001920
U000096,TXN20250324001921
U000166,TXN20250322001922
U000738,TXN20250202001923
U000049,TXN20250110001924
U000479,TXN20250317001925
U000689,TXN20250108001926
U000066,TXN20250226001927
U000099,TXN20250112001928
U000188,TXN20250313001929
U000032,TXN20250110001930
U000310,TXN20250330001931
U000669,TXN20250104001932
U000109,TXN20250124001933
U000502,TXN20250106001934
U000146,TXN20250129001935
U000702,TXN20250331001936
U000327,TXN20250116001937
U000371,TXN20250302001938
U000461,TXN20250103001939
U000134,TXN20250210001940
U000237,TXN20250107001941
U000096,TXN20250124001942
U000690,TXN20250110001943
U000289,TXN20250129001944
U000265,TXN20250207001945
U000339,TXN20250129001946
U000714,TXN20250304001947
U000384,TXN20250208001948
U000761,TXN20250101001949
U000015,TXN20250218001950
U000044,TXN20250309001951
U000755,TXN20250114001952
U000355,TXN20250216001953
U000245,TXN20250106001954
U000350,TXN20250325001955
U000793,TXN20250226001956
U000425,TXN20250325001957
U000405,TXN20250124001958
U000612,TXN20250311001959
U000368,TXN20250306001960
U000370,TXN20250101001961
U000644,TXN20250216001962
U000231,TXN20250110001963
U000736,TXN20250316001964
U000040,TXN20250309001965
U000330,TXN20250219001966
U000019,TXN20250323001967
U000804,TXN20250213001968
U000253,TXN20250318001969
U000673,TXN20250109001970
U000516,TXN20250311001971
U000721,TXN20250220001972
U000342,TXN20250204001973
U000097,TXN20250331001974
U000367,TXN20250307001975
U000003,TXN20250214001976
U000192,TXN20250209001977
U000673,TXN20250321001978
U000155,TXN20250111001979
U000596,TXN20250206001980
U000689,TXN20250212001981
U000771,TXN20250220001982
U000569,TXN20250331001983
U000091,TXN20250101001984
U000213,TXN20250318001985
U000511,TXN20250116001986
U000199,TXN20250214001987
U000786,TXN20250212001988
U000413,TXN20250220001989
U000075,TXN20250118001990
U000083,TXN20250205001991
U000420,TXN20250211001992
U000251,TXN20250312001993
U000501,TXN20250315001994
U000479,TXN20250305001995
U000503,TXN20250102001996
U000431,TXN20250222001997
U000522,TXN20250221001998
U000393,TXN20250114001999
U000023,TXN20250104002000
U000140,TXN20250130002001
U000704,TXN20250309002002
U000632,TXN20250222002003
U000334,TXN20250110002004
U000485,TXN20250213002005
U000606,TXN20250314002006
U000454,TXN20250118002007
U000742,TXN20250107002008
U000408,TXN20250225002009
U000724,TXN20250307002010
U000400,TXN20250112002011
U000220,TXN20250215002012
U000682,TXN20250204002013
U000707,TXN20250206002014
U000754,TXN20250305002015
U000150,TXN20250104002016
U000597,TXN20250308002017
U000021,TXN20250118002018
U000166,TXN20250222002019
U000715,TXN20250320002020
U000642,TXN20250323002021
U000141,TXN20250218002022
U000596,TXN20250210002023
U000816,TXN20250227002024
U000388,TXN20250115002025
U000162,TXN20250128002026
U000424,TXN20250118002027
U000796,TXN20250218002028
U000090,TXN20250305002029
U000476,TXN20250117002030
U000060,TXN20250119002031
U000522,TXN20250216002032
U000225,TXN20250331002033
U000598,TXN20250327002034
U000447,TXN20250109002035
U000126,TXN20250130002036
U000727,TXN20250319002037
U000169,TXN20250126002038
U000015,TXN20250321002039
U000588,TXN20250121002040
U000438,TXN20250202002041
U000490,TXN20250131002042
U000795,TXN20250207002043
U000455,TXN20250216002044
U000671,TXN20250106002045
U000468,TXN20250211002046
U000371,TXN20250314002047
U000593,TXN20250228002048
U000584,TXN20250205002049
U000686,TXN20250311002050
U000332,TXN20250128002051
U000003,TXN20250225002052
U000680,TXN20250310002053
U000397,TXN20250116002054
U000095,TXN20250312002055
U000767,TXN20250123002056
U000595,TXN20250204002057
U000556,TXN20250304002058
U000173,TXN20250221002059
U000016,TXN20250316002060
U000611,TXN20250329002061
U000738,TXN20250109002062
U000324,TXN20250106002063
U000680,TXN20250311002064
U000275,TXN20250121002065
U000613,TXN20250215002066
U000184,TXN20250115002067
U000142,TXN20250117002068
U000613,TXN20250130002069
U000384,TXN20250106002070
U000402,TXN20250122002071
U000817,TXN20250226002072
U000051,TXN20250327002073
U000702,TXN20250305002074
U000310,TXN20250307002075
U000137,TXN20250314002076
U000338,TXN20250106002077
U000585,TXN20250325002078
U000263,TXN20250311002079
U000555,TXN20250218002080
U000433,TXN20250216002081
U000430,TXN20250103002082
U000318,TXN20250328002083
U000569,TXN20250210002084
U000019,TXN20250106002085
U000416,TXN20250128002086
U000407,TXN20250131002087
U000526,TXN20250302002088
U000456,TXN20250228002089
U000267,TXN20250110002090
U000205,TXN20250304002091
U000689,TXN20250116002092
U000819,TXN20250308002093
U000585,TXN20250207002094
U000460,TXN20250123002095
U000239,TXN20250327002096
U000074,TXN20250115002097
U000580,TXN20250118002098
U000192,TXN20250116002099
U000464,TXN20250105002100
U000825,TXN20250127002101
U000376,TXN20250109002102
U000501,TXN20250307002103
U000518,TXN20250311002104
U000746,TXN20250115002105
U000421,TXN20250122002106
U000734,TXN20250306002107
U000211,TXN20250101002108
U000569,TXN20250306002109
U000348,TXN20250227002110
U000414,TXN20250322002111
U000623,TXN20250221002112
U000536,TXN20250117002113
U000818,TXN20250306002114
U000018,TXN20250130002115
U000434,TXN20250310002116
U000509,TXN20250128002117
U000418,TXN20250212002118
U000012,TXN20250118002119
U000216,TXN20250329002120
U000610,TXN20250203002121
U000690,TXN20250129002122
U000631,TXN20250112002123
U000686,TXN20250325002124
U000660,TXN20250125002125
U000823,TXN20250312002126
U000241,TXN20250225002127
U000173,TXN20250318002128
U000334,TXN20250214002129
U000684,TXN20250310002130
U000840,TXN20250217002131
U000474,TXN20250216002132
U000201,TXN20250320002133
U000056,TXN20250301002134
U000503,TXN20250212002135
U000031,TXN20250210002136
U000345,TXN20250102002137
U000583,TXN20250314002138
U000275,TXN20250127002139
U000300,TXN20250315002140
U000214,TXN20250216002141
U000160,TXN20250227002142
U000109,TXN20250118002143
U000404,TXN20250317002144
U000320,TXN20250225002145
U000123,TXN20250131002146
U000104,TXN20250321002147
U000145,TXN20250128002148
U000544,TXN20250116002149
U000805,TXN20250308002150
U000591,TXN20250101002151
