tran_sequence_number,merchant_id
TXN20250328000936,MGB00219
TXN20250203000937,MDE00111
TXN20250114000938,MUS00139
TXN20250330000939,MAU00060
TXN20250318000940,MUS00142
TXN20250107000941,MCA00102
TXN20250322000942,MGB00065
TXN20250225000943,MGB00046
TXN20250315000944,MIN00103
TXN20250129000945,MUS00079
TXN20250103000946,MNL00161
TXN20250123000947,MAE00126
TXN20250120000948,MJP00125
TXN20250326000949,MGB00168
TXN20250128000950,MIN00138
TXN20250125000951,MFR00182
TXN20250327000952,MIN00203
TXN20250302000953,MFR00072
TXN20250313000954,MGB00069
TXN20250320000955,MAE00205
TXN20250125000956,MJP00045
TXN20250107000957,MUS00207
TXN20250301000958,MFR00015
TXN20250319000959,MCA00081
TXN20250114000960,MJP00121
TXN20250324000961,MCA00096
TXN20250108000962,MUS00034
TXN20250307000963,MSG00061
TXN20250120000964,MNL00167
TXN20250125000965,MGB00199
TXN20250113000966,MDE00181
TXN20250107000967,MJP00214
TXN20250119000968,MUS00086
TXN20250112000969,MCA00081
TXN20250206000970,MUS00079
TXN20250131000971,MAU00075
TXN20250120000972,MIN00128
TXN20250302000973,MCA00044
TXN20250312000974,MGB00132
TXN20250303000975,MFR00042
TXN20250328000976,MAU00084
TXN20250322000977,MUS00057
TXN20250316000978,MFR00042
TXN20250111000979,MCA00200
TXN20250309000980,MGB00001
TXN20250317000981,MUS00023
TXN20250323000982,MDE00111
TXN20250210000983,MAU00206
TXN20250122000984,MDE00197
TXN20250207000985,MAU00186
TXN20250309000986,MHK00159
TXN20250225000987,MGB00199
TXN20250307000988,MES00066
TXN20250324000989,MFR00192
TXN20250216000990,MUS00139
TXN20250116000991,MES00067
TXN20250318000992,MIN00009
TXN20250205000993,MGB00069
TXN20250302000994,MUS00213
TXN20250306000995,MGB00132
TXN20250216000996,MDE00155
TXN20250308000997,MCA00096
TXN20250207000998,MES00175
TXN20250208000999,MSG00050
TXN20250303001000,MUS00023
TXN20250103001001,MDE00146
TXN20250201001002,MGB00160
TXN20250329001003,MUS00135
TXN20250310001004,MDE00134
TXN20250216001005,MFR00148
TXN20250304001006,MGB00188
TXN20250110001007,MFR00182
TXN20250321001008,MCA00080
TXN20250311001009,MJP00002
TXN20250101001010,MIN00180
TXN20250103001011,MFR00042
TXN20250329001012,MJP00045
TXN20250109001013,MJP00133
TXN20250223001014,MUS00130
TXN20250223001015,MES00025
TXN20250123001016,MUS00040
TXN20250330001017,MDE00074
TXN20250311001018,MGB00145
TXN20250220001019,MFR00042
TXN20250225001020,MAE00126
TXN20250116001021,MIN00184
TXN20250121001022,MJP00032
TXN20250321001023,MUS00207
TXN20250322001024,MAE00127
TXN20250111001025,MSG00070
TXN20250220001026,MCA00080
TXN20250209001027,MDE00185
TXN20250207001028,MUS00055
TXN20250205001029,MCA00156
TXN20250311001030,MAU00119
TXN20250327001031,MGB00199
TXN20250120001032,MFR00015
TXN20250329001033,MAE00170
TXN20250115001034,MUS00047
TXN20250103001035,MDE00136
TXN20250131001036,MAU00095
TXN20250124001037,MIN00011
TXN20250125001038,MGB00160
TXN20250101001039,MJP00154
TXN20250127001040,MCA00044
TXN20250129001041,MCA00096
TXN20250327001042,MES00107
TXN20250205001043,MES00058
TXN20250218001044,MJP00133
TXN20250323001045,MDE00134
TXN20250326001046,MFR00182
TXN20250120001047,MDE00114
TXN20250110001048,MUS00139
TXN20250103001049,MUS00150
TXN20250319001050,MAU00098
TXN20250328001051,MDE00181
TXN20250118001052,MUS00023
TXN20250106001053,MIN00138
TXN20250123001054,MJP00121
TXN20250212001055,MJP00121
TXN20250201001056,MGB00054
TXN20250331001057,MHK00010
TXN20250331001058,MNL00161
TXN20250214001059,MES00058
TXN20250104001060,MAU00172
TXN20250124001061,MIN00021
TXN20250208001062,MGB00043
TXN20250327001063,MJP00036
TXN20250314001064,MGB00160
TXN20250109001065,MCA00200
TXN20250120001066,MUS00153
TXN20250102001067,MUS00018
TXN20250121001068,MCA00068
TXN20250118001069,MGB00046
TXN20250209001070,MCA00209
TXN20250222001071,MUS00034
TXN20250219001072,MHK00010
TXN20250301001073,MGB00174
TXN20250111001074,MES00038
TXN20250320001075,MDE00185
TXN20250107001076,MCA00068
TXN20250106001077,MUS00047
TXN20250325001078,MCA00068
TXN20250103001079,MUS00079
TXN20250130001080,MUS00079
TXN20250126001081,MGB00191
TXN20250211001082,MGB00219
TXN20250107001083,MUS00012
TXN20250103001084,MES00062
TXN20250103001085,MNL00169
TXN20250316001086,MFR00072
TXN20250129001087,MGB00174
TXN20250112001088,MHK00091
TXN20250215001089,MES00038
TXN20250219001090,MES00175
TXN20250109001091,MJP00026
TXN20250114001092,MES00038
TXN20250302001093,MJP00123
TXN20250109001094,MAU00075
TXN20250219001095,MNL00218
TXN20250330001096,MUS00190
TXN20250214001097,MUS00164
TXN20250214001098,MAU00119
TXN20250205001099,MAE00170
TXN20250101001100,MES00066
TXN20250125001101,MFR00015
TXN20250104001102,MNL00218
TXN20250316001103,MJP00123
TXN20250125001104,MDE00155
TXN20250203001105,MSG00140
TXN20250307001106,MUS00077
TXN20250206001107,MIN00113
TXN20250110001108,MCA00209
TXN20250113001109,MUS00116
TXN20250118001110,MHK00159
TXN20250115001111,MJP00215
TXN20250122001112,MSG00140
TXN20250116001113,MJP00036
TXN20250115001114,MHK00010
TXN20250205001115,MAE00170
TXN20250209001116,MGB00174
TXN20250211001117,MSG00033
TXN20250206001118,MDE00052
TXN20250201001119,MES00107
TXN20250211001120,MUS00031
TXN20250206001121,MIN00029
TXN20250207001122,MCA00044
TXN20250106001123,MDE00052
TXN20250130001124,MGB00168
TXN20250330001125,MES00041
TXN20250204001126,MCA00096
TXN20250111001127,MJP00002
TXN20250204001128,MUS00166
TXN20250306001129,MCA00156
TXN20250128001130,MIN00113
TXN20250209001131,MGB00106
TXN20250102001132,MGB00094
TXN20250101001133,MAU00075
TXN20250301001134,MUS00057
TXN20250101001135,MCA00143
TXN20250311001136,MES00067
TXN20250213001137,MCA00209
TXN20250324001138,MES00066
TXN20250228001139,MIN00009
TXN20250323001140,MJP00088
TXN20250210001141,MUS00198
TXN20250126001142,MAU00056
TXN20250329001143,MNL00161
TXN20250307001144,MAE00208
TXN20250118001145,MAU00056
TXN20250206001146,MES00107
TXN20250120001147,MNL00030
TXN20250109001148,MFR00192
TXN20250304001149,MSG00176
TXN20250129001150,MSG00165
TXN20250116001151,MAE00090
TXN20250214001152,MUS00129
TXN20250114001153,MUS00012
TXN20250211001154,MJP00214
TXN20250128001155,MNL00109
TXN20250302001156,MDE00197
TXN20250210001157,MCA00063
TXN20250312001158,MIN00017
TXN20250102001159,MGB00069
TXN20250319001160,MNL00013
TXN20250120001161,MJP00154
TXN20250306001162,MNL00161
TXN20250314001163,MFR00192
TXN20250120001164,MSG00140
TXN20250325001165,MAE00035
TXN20250323001166,MJP00032
TXN20250222001167,MUS00018
TXN20250304001168,MCA00101
TXN20250120001169,MAE00208
TXN20250125001170,MCA00080
TXN20250217001171,MGB00001
TXN20250219001172,MGB00160
TXN20250314001173,MCA00194
TXN20250217001174,MGB00145
TXN20250317001175,MJP00028
TXN20250304001176,MSG00173
TXN20250318001177,MUS00213
TXN20250206001178,MES00175
TXN20250102001179,MCA00063
TXN20250327001180,MNL00013
TXN20250110001181,MGB00163
TXN20250221001182,MJP00004
TXN20250226001183,MDE00114
TXN20250309001184,MIN00029
TXN20250121001185,MFR00148
TXN20250313001186,MIN00152
TXN20250123001187,MGB00069
TXN20250328001188,MGB00069
TXN20250306001189,MSG00070
TXN20250318001190,MFR00212
TXN20250305001191,MAU00206
TXN20250130001192,MAE00020
TXN20250226001193,MAU00056
TXN20250228001194,MDE00136
TXN20250103001195,MGB00054
TXN20250223001196,MES00175
TXN20250107001197,MUS00047
TXN20250331001198,MIN00009
TXN20250302001199,MGB00188
TXN20250201001200,MFR00072
TXN20250117001201,MAU00186
TXN20250330001202,MGB00199
TXN20250324001203,MGB00106
TXN20250212001204,MIN00103
TXN20250221001205,MHK00053
TXN20250212001206,MCA00044
TXN20250304001207,MUS00057
TXN20250215001208,MCA00101
TXN20250101001209,MNL00051
TXN20250302001210,MDE00114
TXN20250326001211,MAU00206
TXN20250224001212,MUS00153
TXN20250114001213,MDE00146
TXN20250307001214,MCA00019
TXN20250204001215,MUS00055
TXN20250112001216,MES00025
TXN20250306001217,MDE00181
TXN20250304001218,MGB00168
TXN20250105001219,MIN00009
TXN20250102001220,MUS00150
TXN20250218001221,MDE00052
TXN20250128001222,MUS00130
TXN20250129001223,MSG00173
TXN20250325001224,MCA00016
TXN20250226001225,MDE00197
TXN20250203001226,MUS00023
TXN20250226001227,MCA00194
TXN20250206001228,MAU00075
TXN20250218001229,MIN00193
TXN20250123001230,MIN00131
TXN20250131001231,MGB00168
TXN20250109001232,MDE00111
TXN20250209001233,MAU00119
TXN20250111001234,MUS00139
TXN20250118001235,MUS00116
TXN20250111001236,MUS00179
TXN20250227001237,MJP00088
TXN20250129001238,MSG00173
TXN20250221001239,MGB00043
TXN20250221001240,MUS00171
TXN20250220001241,MDE00185
TXN20250316001242,MIN00128
TXN20250217001243,MDE00114
TXN20250106001244,MDE00074
TXN20250102001245,MJP00133
TXN20250329001246,MIN00022
TXN20250206001247,MDE00197
TXN20250129001248,MFR00201
TXN20250320001249,MJP00028
TXN20250106001250,MNL00051
TXN20250120001251,MIN00210
TXN20250106001252,MCA00096
TXN20250127001253,MJP00157
TXN20250117001254,MGB00027
TXN20250125001255,MGB00027
TXN20250312001256,MNL00039
TXN20250330001257,MHK00010
TXN20250212001258,MUS00129
TXN20250228001259,MJP00125
TXN20250331001260,MFR00192
TXN20250111001261,MNL00013
TXN20250304001262,MJP00112
TXN20250317001263,MCA00080
TXN20250115001264,MCA00102
TXN20250305001265,MFR00201
TXN20250211001266,MCA00014
TXN20250323001267,MGB00183
TXN20250224001268,MUS00040
TXN20250224001269,MSG00083
TXN20250131001270,MES00062
TXN20250208001271,MFR00182
TXN20250320001272,MHK00091
TXN20250323001273,MGB00094
TXN20250301001274,MUS00179
TXN20250226001275,MGB00219
TXN20250224001276,MDE00155
TXN20250105001277,MFR00008
TXN20250320001278,MCA00019
TXN20250117001279,MGB00054
TXN20250303001280,MJP00144
TXN20250315001281,MUS00130
TXN20250219001282,MDE00071
TXN20250226001283,MJP00002
TXN20250112001284,MIN00003
TXN20250314001285,MAE00035
TXN20250126001286,MIN00180
TXN20250223001287,MSG00140
TXN20250114001288,MFR00072
TXN20250304001289,MFR00015
TXN20250205001290,MIN00193
TXN20250209001291,MUS00031
TXN20250222001292,MGB00219
TXN20250202001293,MUS00059
TXN20250101001294,MSG00176
TXN20250125001295,MDE00074
TXN20250301001296,MJP00204
TXN20250225001297,MIN00037
TXN20250112001298,MDE00136
TXN20250222001299,MUS00171
TXN20250109001300,MES00217
TXN20250104001301,MNL00161
TXN20250315001302,MUS00179
TXN20250214001303,MGB00027
TXN20250123001304,MSG00140
TXN20250212001305,MES00100
TXN20250221001306,MFR00122
TXN20250223001307,MGB00027
TXN20250114001308,MFR00122
TXN20250110001309,MCA00081
TXN20250105001310,MUS00129
TXN20250225001311,MUS00142
TXN20250327001312,MUS00012
TXN20250106001313,MNL00039
TXN20250111001314,MNL00218
TXN20250323001315,MGB00043
TXN20250131001316,MUS00213
TXN20250219001317,MES00041
TXN20250330001318,MSG00083
TXN20250121001319,MFR00015
TXN20250221001320,MJP00028
TXN20250101001321,MUS00207
TXN20250208001322,MJP00088
TXN20250129001323,MIN00115
TXN20250322001324,MCA00014
TXN20250205001325,MFR00122
TXN20250219001326,MIN00082
TXN20250330001327,MUS00142
TXN20250223001328,MGB00064
TXN20250326001329,MJP00045
TXN20250201001330,MDE00071
TXN20250130001331,MFR00072
TXN20250118001332,MUS00116
TXN20250328001333,MAU00075
TXN20250227001334,MGB00001
TXN20250330001335,MUS00179
TXN20250121001336,MIN00103
TXN20250131001337,MCA00068
TXN20250118001338,MDE00155
TXN20250308001339,MES00041
TXN20250227001340,MGB00219
TXN20250205001341,MDE00185
TXN20250204001342,MUS00171
TXN20250325001343,MAU00024
TXN20250119001344,MUS00117
TXN20250225001345,MNL00167
TXN20250331001346,MNL00167
TXN20250328001347,MCA00194
TXN20250324001348,MGB00163
TXN20250216001349,MUS00198
TXN20250226001350,MCA00063
TXN20250217001351,MJP00028
TXN20250226001352,MGB00027
TXN20250211001353,MJP00004
TXN20250129001354,MIN00029
TXN20250207001355,MGB00065
TXN20250126001356,MIN00011
TXN20250314001357,MAE00073
TXN20250206001358,MGB00163
TXN20250305001359,MJP00032
TXN20250112001360,MUS00077
TXN20250301001361,MUS00059
TXN20250117001362,MAE00090
TXN20250104001363,MCA00093
TXN20250224001364,MIN00184
TXN20250216001365,MJP00215
TXN20250306001366,MIN00193
TXN20250111001367,MES00175
TXN20250216001368,MAU00075
TXN20250225001369,MUS00034
TXN20250306001370,MUS00117
TXN20250319001371,MUS00135
TXN20250106001372,MUS00034
TXN20250201001373,MCA00156
TXN20250225001374,MJP00088
TXN20250331001375,MHK00151
TXN20250126001376,MCA00044
TXN20250111001377,MIN00193
TXN20250107001378,MDE00146
TXN20250123001379,MJP00214
TXN20250126001380,MGB00043
TXN20250309001381,MAU00095
TXN20250207001382,MFR00177
TXN20250101001383,MAU00084
TXN20250309001384,MFR00177
TXN20250227001385,MCA00102
TXN20250316001386,MES00087
TXN20250104001387,MUS00057
TXN20250317001388,MJP00028
TXN20250114001389,MAU00005
TXN20250325001390,MJP00104
TXN20250128001391,MHK00010
TXN20250108001392,MJP00104
TXN20250207001393,MGB00168
TXN20250331001394,MES00025
TXN20250215001395,MNL00039
TXN20250305001396,MES00100
TXN20250307001397,MGB00141
TXN20250222001398,MFR00192
TXN20250126001399,MSG00033
TXN20250331001400,MCA00081
TXN20250119001401,MDE00185
TXN20250212001402,MSG00176
TXN20250126001403,MHK00159
TXN20250314001404,MJP00157
TXN20250102001405,MAU00206
TXN20250304001406,MJP00215
TXN20250101001407,MFR00177
TXN20250127001408,MUS00040
TXN20250219001409,MIN00021
TXN20250205001410,MIN00082
TXN20250214001411,MCA00080
TXN20250115001412,MES00062
TXN20250227001413,MUS00055
TXN20250129001414,MJP00097
TXN20250221001415,MDE00052
TXN20250218001416,MCA00156
TXN20250105001417,MUS00057
TXN20250222001418,MDE00048
TXN20250322001419,MAE00076
TXN20250202001420,MES00062
TXN20250201001421,MJP00125
TXN20250113001422,MIN00193
TXN20250104001423,MUS00139
TXN20250103001424,MCA00096
TXN20250227001425,MES00092
TXN20250117001426,MCA00096
TXN20250216001427,MIN00022
TXN20250214001428,MAU00056
TXN20250118001429,MFR00212
TXN20250317001430,MGB00145
TXN20250324001431,MAU00060
TXN20250123001432,MGB00160
TXN20250327001433,MUS00153
TXN20250127001434,MFR00015
TXN20250221001435,MDE00074
TXN20250215001436,MJP00088
TXN20250128001437,MGB00094
TXN20250326001438,MCA00200
TXN20250201001439,MGB00043
TXN20250318001440,MUS00079
TXN20250327001441,MJP00028
TXN20250111001442,MUS00059
TXN20250224001443,MUS00216
TXN20250208001444,MES00058
TXN20250201001445,MAU00149
TXN20250215001446,MES00175
TXN20250210001447,MNL00167
TXN20250324001448,MIN00011
TXN20250130001449,MNL00218
TXN20250215001450,MAU00206
TXN20250201001451,MUS00135
TXN20250101001452,MDE00134
TXN20250109001453,MUS00139
TXN20250306001454,MUS00135
TXN20250110001455,MSG00070
TXN20250226001456,MCA00147
TXN20250117001457,MDE00134
TXN20250326001458,MCA00093
TXN20250324001459,MCA00194
TXN20250319001460,MGB00064
TXN20250316001461,MUS00077
TXN20250330001462,MIN00211
TXN20250205001463,MGB00027
TXN20250216001464,MFR00177
TXN20250121001465,MIN00082
TXN20250117001466,MIN00131
TXN20250301001467,MAE00127
TXN20250214001468,MUS00142
TXN20250114001469,MUS00135
TXN20250120001470,MCA00044
TXN20250222001471,MES00100
TXN20250227001472,MDE00071
TXN20250102001473,MNL00039
TXN20250112001474,MCA00102
TXN20250210001475,MAE00170
TXN20250122001476,MGB00054
TXN20250329001477,MGB00064
TXN20250223001478,MNL00109
TXN20250306001479,MJP00036
TXN20250330001480,MGB00183
TXN20250129001481,MAU00206
TXN20250221001482,MCA00156
TXN20250124001483,MDE00052
TXN20250228001484,MAU00105
TXN20250213001485,MNL00039
TXN20250309001486,MUS00086
TXN20250221001487,MCA00099
TXN20250215001488,MSG00189
TXN20250103001489,MCA00081
TXN20250312001490,MCA00110
TXN20250215001491,MAU00060
TXN20250329001492,MHK00195
TXN20250328001493,MGB00001
TXN20250108001494,MCA00194
TXN20250103001495,MSG00176
TXN20250104001496,MAU00084
TXN20250217001497,MSG00140
TXN20250116001498,MFR00201
TXN20250314001499,MIN00021
TXN20250323001500,MSG00165
TXN20250326001501,MFR00177
TXN20250203001502,MAU00119
TXN20250207001503,MDE00074
TXN20250127001504,MFR00015
TXN20250228001505,MAE00076
TXN20250302001506,MAE00205
TXN20250227001507,MNL00218
TXN20250312001508,MNL00161
TXN20250101001509,MDE00155
TXN20250222001510,MGB00168
TXN20250330001511,MIN00203
TXN20250324001512,MUS00190
TXN20250302001513,MAE00020
TXN20250314001514,MDE00185
TXN20250301001515,MAE00020
TXN20250311001516,MFR00072
TXN20250120001517,MGB00191
TXN20250317001518,MUS00150
TXN20250224001519,MIN00138
TXN20250112001520,MGB00199
TXN20250129001521,MUS00139
TXN20250121001522,MUS00216
TXN20250123001523,MFR00177
TXN20250225001524,MCA00096
TXN20250120001525,MSG00033
TXN20250122001526,MIN00022
TXN20250301001527,MIN00103
TXN20250311001528,MUS00012
TXN20250106001529,MDE00134
TXN20250206001530,MCA00110
TXN20250331001531,MES00058
TXN20250330001532,MDE00197
TXN20250111001533,MCA00143
TXN20250124001534,MCA00200
TXN20250125001535,MGB00001
TXN20250102001536,MHK00151
TXN20250318001537,MAU00105
TXN20250118001538,MFR00182
TXN20250103001539,MAU00095
TXN20250208001540,MHK00202
TXN20250307001541,MAU00206
TXN20250113001542,MIN00115
TXN20250301001543,MDE00181
TXN20250202001544,MUS00142
TXN20250304001545,MNL00161
TXN20250117001546,MFR00015
TXN20250129001547,MUS00190
TXN20250310001548,MUS00117
TXN20250123001549,MNL00109
TXN20250307001550,MUS00129
TXN20250221001551,MDE00185
TXN20250225001552,MJP00158
TXN20250223001553,MIN00131
TXN20250124001554,MHK00202
TXN20250211001555,MCA00081
TXN20250125001556,MFR00008
TXN20250302001557,MNL00030
TXN20250115001558,MFR00201
TXN20250116001559,MAU00089
TXN20250129001560,MGB00132
TXN20250329001561,MUS00034
TXN20250311001562,MUS00047
TXN20250114001563,MAU00186
TXN20250221001564,MUS00150
TXN20250311001565,MUS00116
TXN20250303001566,MJP00036
TXN20250128001567,MIN00037
TXN20250309001568,MIN00029
TXN20250210001569,MIN00193
TXN20250131001570,MJP00121
TXN20250101001571,MCA00194
TXN20250117001572,MGB00106
TXN20250122001573,MGB00174
TXN20250224001574,MUS00139
TXN20250123001575,MUS00124
TXN20250203001576,MUS00040
TXN20250202001577,MJP00026
TXN20250330001578,MDE00071
TXN20250315001579,MJP00028
TXN20250121001580,MFR00201
TXN20250228001581,MUS00166
TXN20250102001582,MIN00017
TXN20250315001583,MES00217
TXN20250113001584,MDE00136
TXN20250204001585,MJP00108
TXN20250211001586,MFR00212
TXN20250131001587,MAU00089
TXN20250324001588,MHK00010
TXN20250301001589,MGB00094
TXN20250209001590,MFR00192
TXN20250131001591,MUS00153
TXN20250303001592,MJP00157
TXN20250319001593,MJP00214
TXN20250217001594,MUS00129
TXN20250326001595,MDE00074
TXN20250309001596,MDE00114
TXN20250330001597,MDE00074
TXN20250219001598,MGB00141
TXN20250301001599,MFR00148
TXN20250214001600,MHK00091
TXN20250331001601,MSG00176
TXN20250118001602,MGB00094
TXN20250102001603,MUS00047
TXN20250208001604,MAU00149
TXN20250107001605,MSG00083
TXN20250304001606,MGB00160
TXN20250219001607,MJP00049
TXN20250208001608,MJP00045
TXN20250208001609,MSG00061
TXN20250128001610,MJP00104
TXN20250121001611,MSG00176
TXN20250204001612,MSG00061
TXN20250207001613,MCA00156
TXN20250315001614,MCA00200
TXN20250331001615,MES00062
TXN20250208001616,MES00092
TXN20250223001617,MCA00102
TXN20250116001618,MAU00060
TXN20250114001619,MJP00214
TXN20250304001620,MDE00185
TXN20250125001621,MES00087
TXN20250331001622,MCA00156
TXN20250107001623,MCA00093
TXN20250120001624,MHK00195
TXN20250123001625,MJP00215
TXN20250328001626,MGB00106
TXN20250131001627,MDE00114
TXN20250226001628,MGB00064
TXN20250303001629,MIN00210
TXN20250101001630,MJP00144
TXN20250306001631,MGB00094
TXN20250301001632,MJP00121
TXN20250228001633,MFR00122
TXN20250218001634,MIN00211
TXN20250204001635,MUS00055
TXN20250116001636,MGB00183
TXN20250312001637,MUS00031
TXN20250105001638,MIN00180
TXN20250113001639,MES00058
TXN20250209001640,MJP00162
TXN20250126001641,MAU00098
TXN20250103001642,MCA00156
TXN20250104001643,MSG00189
TXN20250227001644,MUS00142
TXN20250227001645,MJP00214
TXN20250203001646,MNL00039
TXN20250303001647,MUS00135
TXN20250210001648,MIN00011
TXN20250320001649,MIN00082
TXN20250321001650,MCA00196
TXN20250306001651,MCA00063
TXN20250113001652,MFR00201
TXN20250117001653,MAU00085
TXN20250314001654,MCA00016
TXN20250326001655,MCA00194
TXN20250106001656,MCA00044
TXN20250316001657,MIN00138
TXN20250209001658,MCA00093
TXN20250202001659,MJP00157
TXN20250222001660,MIN00021
TXN20250202001661,MGB00094
TXN20250122001662,MFR00182
TXN20250209001663,MDE00197
TXN20250103001664,MUS00057
TXN20250118001665,MAU00095
TXN20250309001666,MGB00064
TXN20250312001667,MGB00191
TXN20250112001668,MIN00138
TXN20250216001669,MNL00169
TXN20250321001670,MUS00079
TXN20250111001671,MJP00097
TXN20250115001672,MIN00152
TXN20250310001673,MUS00166
TXN20250308001674,MIN00118
TXN20250111001675,MAE00208
TXN20250216001676,MGB00001
TXN20250310001677,MSG00176
TXN20250203001678,MAU00005
TXN20250112001679,MES00100
TXN20250104001680,MAU00084
TXN20250205001681,MSG00050
TXN20250215001682,MIN00021
TXN20250331001683,MAU00075
TXN20250213001684,MJP00137
TXN20250311001685,MNL00051
TXN20250312001686,MAU00098
TXN20250323001687,MGB00043
TXN20250119001688,MAU00119
TXN20250318001689,MCA00196
TXN20250304001690,MUS00086
TXN20250208001691,MGB00199
TXN20250129001692,MGB00043
TXN20250124001693,MJP00133
TXN20250105001694,MUS00047
TXN20250117001695,MGB00188
TXN20250312001696,MIN00128
TXN20250327001697,MNL00169
TXN20250226001698,MUS00166
TXN20250221001699,MUS00207
TXN20250201001700,MIN00118
TXN20250110001701,MDE00048
TXN20250121001702,MUS00179
TXN20250306001703,MJP00133
TXN20250113001704,MCA00063
TXN20250320001705,MHK00202
TXN20250326001706,MCA00063
TXN20250201001707,MUS00166
TXN20250107001708,MUS00179
TXN20250310001709,MIN00138
TXN20250221001710,MDE00071
TXN20250224001711,MAE00035
TXN20250323001712,MUS00139
TXN20250115001713,MIN00203
TXN20250223001714,MES00058
TXN20250228001715,MUS00059
TXN20250317001716,MDE00111
TXN20250307001717,MCA00196
TXN20250104001718,MIN00037
TXN20250322001719,MCA00156
TXN20250212001720,MUS00031
TXN20250319001721,MSG00165
TXN20250102001722,MUS00023
TXN20250202001723,MFR00192
TXN20250127001724,MUS00055
TXN20250202001725,MFR00182
TXN20250316001726,MES00087
TXN20250218001727,MSG00140
TXN20250207001728,MAE00126
TXN20250114001729,MJP00121
TXN20250224001730,MAE00126
TXN20250116001731,MGB00094
TXN20250118001732,MCA00200
TXN20250129001733,MJP00144
TXN20250103001734,MGB00160
TXN20250311001735,MUS00047
TXN20250206001736,MDE00074
TXN20250110001737,MFR00212
TXN20250109001738,MNL00109
TXN20250117001739,MIN00022
TXN20250122001740,MJP00097
TXN20250225001741,MAE00090
TXN20250312001742,MSG00050
TXN20250315001743,MUS00124
TXN20250218001744,MAU00172
TXN20250304001745,MJP00108
TXN20250101001746,MES00062
TXN20250218001747,MUS00153
TXN20250115001748,MCA00102
TXN20250111001749,MDE00197
TXN20250316001750,MAE00076
TXN20250310001751,MES00025
TXN20250107001752,MUS00135
TXN20250203001753,MJP00002
TXN20250310001754,MHK00053
TXN20250320001755,MAE00073
TXN20250311001756,MES00025
TXN20250327001757,MCA00016
TXN20250219001758,MGB00027
TXN20250321001759,MJP00112
TXN20250317001760,MCA00143
TXN20250130001761,MDE00134
TXN20250307001762,MDE00181
TXN20250125001763,MES00092
TXN20250103001764,MGB00027
TXN20250318001765,MUS00023
TXN20250301001766,MCA00156
TXN20250307001767,MUS00213
TXN20250318001768,MSG00173
TXN20250306001769,MUS00153
TXN20250315001770,MFR00182
TXN20250114001771,MUS00166
TXN20250317001772,MFR00008
TXN20250322001773,MUS00079
TXN20250223001774,MAU00186
TXN20250315001775,MAE00076
TXN20250319001776,MCA00196
TXN20250227001777,MDE00134
TXN20250216001778,MIN00103
TXN20250124001779,MSG00189
TXN20250205001780,MNL00078
TXN20250324001781,MUS00040
TXN20250104001782,MFR00182
TXN20250221001783,MAE00090
TXN20250313001784,MGB00064
TXN20250102001785,MIN00203
TXN20250302001786,MIN00178
TXN20250307001787,MUS00034
TXN20250214001788,MHK00010
TXN20250331001789,MJP00028
TXN20250226001790,MIN00103
TXN20250327001791,MUS00153
TXN20250108001792,MCA00016
TXN20250204001793,MDE00197
TXN20250317001794,MCA00096
TXN20250325001795,MJP00036
TXN20250205001796,MSG00033
TXN20250218001797,MFR00177
TXN20250318001798,MUS00207
TXN20250322001799,MCA00099
TXN20250225001800,MCA00014
TXN20250128001801,MCA00099
TXN20250302001802,MSG00189
TXN20250226001803,MAU00056
TXN20250118001804,MAE00035
TXN20250204001805,MUS00166
TXN20250102001806,MGB00141
TXN20250322001807,MUS00031
TXN20250102001808,MFR00008
TXN20250121001809,MES00058
TXN20250330001810,MDE00134
TXN20250127001811,MDE00134
TXN20250309001812,MUS00116
TXN20250322001813,MDE00181
TXN20250127001814,MSG00070
TXN20250119001815,MUS00047
TXN20250331001816,MES00175
TXN20250311001817,MUS00086
TXN20250112001818,MDE00134
TXN20250110001819,MJP00204
TXN20250201001820,MDE00136
TXN20250107001821,MUS00213
TXN20250221001822,MSG00173
TXN20250324001823,MJP00104
TXN20250217001824,MES00041
TXN20250201001825,MJP00112
TXN20250303001826,MCA00110
TXN20250313001827,MDE00185
TXN20250305001828,MJP00026
TXN20250117001829,MCA00209
TXN20250213001830,MCA00156
TXN20250301001831,MJP00045
TXN20250125001832,MIN00103
TXN20250322001833,MJP00204
TXN20250131001834,MCA00156
TXN20250203001835,MIN00184
TXN20250220001836,MCA00093
TXN20250304001837,MCA00143
TXN20250117001838,MES00217
TXN20250116001839,MDE00146
TXN20250224001840,MGB00199
TXN20250101001841,MAU00098
TXN20250222001842,MNL00161
TXN20250228001843,MDE00185
TXN20250104001844,MES00217
TXN20250202001845,MFR00212
TXN20250101001846,MUS00171
TXN20250121001847,MDE00146
TXN20250312001848,MAU00060
TXN20250308001849,MCA00143
TXN20250205001850,MGB00069
TXN20250307001851,MDE00074
TXN20250127001852,MUS00135
TXN20250107001853,MCA00110
TXN20250226001854,MDE00071
TXN20250306001855,MCA00014
TXN20250316001856,MGB00106
TXN20250128001857,MDE00197
TXN20250210001858,MDE00181
TXN20250328001859,MGB00183
TXN20250318001860,MFR00201
TXN20250214001861,MCA00016
TXN20250113001862,MUS00142
TXN20250126001863,MHK00159
TXN20250303001864,MUS00135
TXN20250131001865,MDE00197
TXN20250324001866,MES00067
TXN20250317001867,MGB00054
TXN20250210001868,MHK00159
TXN20250118001869,MCA00099
TXN20250308001870,MDE00134
TXN20250206001871,MGB00141
