tran_sequence_number,Transaction_Amount,userid,transaction_time,transaction_date,transaction_currency_code,merchant_name,merchant_city,merchant_id,card_type,latitude,longitude,merchant_category_code,merchant_country_code,merchant_country,merchant_region_code,ICA_code,issr_id,acquirer_id,transaction_narration
TXN20250225000272,1435.99,U000475,17:47:42,2025-02-25,CAD,SkyJet Travel Vancouver 102,Vancouver,MCA00102,CREDIT,49.308174,-123.09106,4511,CA,Canada,NA,100102,ISSR_CA_214,ACQ_NA_403,"Travel purchase — SkyJet Travel Vancouver (Vancouver): CA$1,435.99 on 25 Feb 2025 using Visa Credit. Ref: ASNWYW."
TXN20250211000273,1254.35,U000427,19:26:55,2025-02-11,AUD,Luxura Retail Melbourne 060,Melbourne,MAU00060,CREDIT,-37.818248,144.923714,5651,AU,Australia,APAC,100060,ISSR_AU_276,ACQ_APAC_703,"A$1,254.35 charged to your Credit card at Luxura Retail Melbourne (Melbourne)."
TXN20250218000274,127.41,U000487,18:21:09,2025-02-18,EUR,MetroFuel Berlin 074,Berlin,MDE00074,CREDIT,52.539021,13.374671,5541,DE,Germany,EMEA,100074,ISSR_DE_238,ACQ_EMEA_502,"Fuel & convenience purchase at MetroFuel Berlin, Berlin — €127.41 on 18 Feb 2025. Ref: A3Y36D."
TXN20250111000275,22.35,U000275,07:00:51,2025-01-11,USD,StreamSphere Chicago 153,Chicago,MUS00153,DEBIT,41.854064,-87.657851,4899,US,United States,NA,100153,ISSR_US_101,ACQ_NA_402,Recurring subscription: StreamSphere Chicago — $22.35 auto-debited on 11 Jan 2025.
TXN20250224000276,48.93,U000812,16:13:19,2025-02-24,EUR,MarketSquare Berlin 114,Berlin,MDE00114,CREDIT,52.498471,13.429453,5311,DE,Germany,EMEA,100114,ISSR_DE_238,ACQ_EMEA_502,"Retail purchase at MarketSquare Berlin, Berlin — €48.93 via online on 24 Feb 2025."
TXN20250303000277,149.0,U000564,04:19:23,2025-03-03,INR,PharmaDirect Mumbai 211,Mumbai,MIN00211,CREDIT,19.085958,72.880988,5912,IN,India,APAC,100211,ISSR_IN_302,ACQ_APAC_702,"Pharmacy purchase at PharmaDirect Mumbai, Mumbai — INR149 on 3 Mar 2025."
TXN20250224000278,1314.5,U000608,12:29:29,2025-02-24,GBP,FinServe Online Manchester 141,Manchester,MGB00141,CREDIT,53.506969,-2.248273,6012,GB,United Kingdom,EMEA,100141,ISSR_GB_224,ACQ_EMEA_501,"Financial services payment to FinServe Online Manchester (Manchester) — £1,314.50 on 24 Feb 2025. Ref: DNTCAGRP2U."
TXN20250223000279,1226.02,U000296,11:50:09,2025-02-23,GBP,ElectroHub Manchester 106,Manchester,MGB00106,CREDIT,53.479811,-2.266068,5732,GB,United Kingdom,EMEA,100106,ISSR_GB_118,ACQ_EMEA_501,"£1,226.02 Credit payment at ElectroHub Manchester electronics store, Manchester."
TXN20250130000280,1997.62,U000292,07:39:14,2025-01-30,USD,ElectroHub San Francisco 129,San Francisco,MUS00129,CREDIT,37.795255,-122.397676,5732,US,United States,NA,100129,ISSR_US_319,ACQ_NA_401,"High-value electronics charge at ElectroHub San Francisco (San Francisco) — $1,997.62 — 30 Jan 2025."
TXN20250129000281,102.0,U000387,14:55:00,2025-01-29,INR,PharmaDirect Mumbai 113,Mumbai,MIN00113,CREDIT,19.050289,72.9109,5912,IN,India,APAC,100113,ISSR_IN_188,ACQ_APAC_702,"Pharmacy purchase at PharmaDirect Mumbai, Mumbai — INR102 on 29 Jan 2025."
TXN20250106000282,134.24,U000398,14:38:47,2025-01-06,GBP,FreshMart Manchester 163,Manchester,MGB00163,CREDIT,53.473261,-2.233629,5411,GB,United Kingdom,EMEA,100163,ISSR_GB_224,ACQ_EMEA_502,"Grocery purchase at FreshMart Manchester, Manchester — £134.24 via online on 6 Jan 2025."
TXN20250217000283,99,U000077,07:52:13,2025-02-17,JPY,FreshMart Osaka 123,Osaka,MJP00123,DEBIT,34.695688,135.476518,5411,JP,Japan,APAC,100123,ISSR_JP_174,ACQ_APAC_703,Supermarket spend: FreshMart Osaka · Osaka · ¥99 · 17 Feb 2025 · Direct debit.
TXN20250220000284,279.03,U000502,09:23:10,2025-02-20,EUR,ElectroHub Madrid 100,Madrid,MES00100,CREDIT,40.417874,-3.691327,5732,ES,Spain,EMEA,100100,ISSR_ES_145,ACQ_EMEA_502,High-value electronics charge at ElectroHub Madrid (Madrid) — €279.03 — 20 Feb 2025.
TXN20250326000285,1965.21,U000717,05:39:33,2025-03-26,EUR,EduPrime Paris 015,Paris,MFR00015,CREDIT,48.874097,2.32394,8220,FR,France,EMEA,100015,ISSR_FR_126,ACQ_EMEA_502,"Academic services at EduPrime Paris, Paris — €1,965.21 — 26 Mar 2025. Ref: DW2ZCFZW."
TXN20250113000286,470.91,U000648,09:57:03,2025-01-13,USD,CloudStay San Francisco 130,San Francisco,MUS00130,CREDIT,37.749607,-122.387464,7011,US,United States,NA,100130,ISSR_US_101,ACQ_NA_401,Accommodation: CloudStay San Francisco · San Francisco · $470.91 · 13 Jan 2025.
TXN20250121000287,903.59,U000509,00:11:37,2025-01-21,USD,Luxura Retail New York 198,New York,MUS00198,CREDIT,40.741084,-74.007133,5651,US,United States,NA,100198,ISSR_US_205,ACQ_NA_403,$903.59 charged to your Credit card at Luxura Retail New York (New York).
TXN20250330000288,160,U000439,00:05:58,2025-03-30,JPY,FreshMart Osaka 123,Osaka,MJP00123,CREDIT,34.698145,135.472626,5411,JP,Japan,APAC,100123,ISSR_JP_174,ACQ_APAC_703,In-store grocery payment to FreshMart Osaka in Osaka for ¥160 on 30 Mar 2025.
TXN20250218000289,1547.71,U000396,21:37:38,2025-02-18,EUR,FinServe Online Amsterdam 167,Amsterdam,MNL00167,CREDIT,52.393954,4.903597,6012,NL,Netherlands,EMEA,100167,ISSR_NL_255,ACQ_EMEA_502,"Financial transaction at FinServe Online Amsterdam (Amsterdam) — €1,547.71 — 18 Feb 2025. Auth: GJJFGJ."
TXN20250122000290,1313.93,U000458,06:38:35,2025-01-22,USD,ElectroHub Chicago 135,Chicago,MUS00135,CREDIT,41.854963,-87.629316,5732,US,United States,NA,100135,ISSR_US_205,ACQ_NA_401,"High-value electronics charge at ElectroHub Chicago (Chicago) — $1,313.93 — 22 Jan 2025."
TXN20250211000291,12.0,U000234,13:32:11,2025-02-11,INR,StreamSphere Bengaluru 128,Bengaluru,MIN00128,CREDIT,12.964061,77.608211,4899,IN,India,APAC,100128,ISSR_IN_302,ACQ_APAC_703,Digital subscription charge from StreamSphere Bengaluru (Bengaluru) — INR12 on 11 Feb 2025.
TXN20250123000292,1538.04,U000056,10:51:30,2025-01-23,EUR,ElectroHub Madrid 066,Madrid,MES00066,CREDIT,40.393813,-3.688789,5732,ES,Spain,EMEA,100066,ISSR_ES_241,ACQ_EMEA_502,"High-value electronics charge at ElectroHub Madrid (Madrid) — €1,538.04 — 23 Jan 2025."
TXN20250203000293,499.24,U000297,03:48:54,2025-02-03,EUR,Luxura Retail Berlin 181,Berlin,MDE00181,CREDIT,52.493828,13.373667,5651,DE,Germany,EMEA,100181,ISSR_DE_132,ACQ_EMEA_503,"Fashion & apparel purchase at Luxura Retail Berlin, Berlin — €499.24 via online on 3 Feb 2025."
TXN20250329000294,74.62,U000518,22:34:40,2025-03-29,HKD,MetroFuel Hong Kong 195,Hong Kong,MHK00195,DEBIT,22.325185,114.147128,5541,HK,Hong Kong,APAC,100195,ISSR_HK_181,ACQ_APAC_701,"Forecourt transaction at MetroFuel Hong Kong, Hong Kong — HKD74.62 — 29 Mar 2025."
TXN20250316000295,152.06,U000423,06:12:34,2025-03-16,USD,FreshMart San Francisco 055,San Francisco,MUS00055,CREDIT,37.771024,-122.441368,5411,US,United States,NA,100055,ISSR_US_205,ACQ_NA_403,In-store grocery payment to FreshMart San Francisco in San Francisco for $152.06 on 16 Mar 2025.
TXN20250201000296,29.9,U000410,02:15:55,2025-02-01,AED,QuickBite Dubai 126,Dubai,MAE00126,DEBIT,25.23826,55.26354,5814,AE,United Arab Emirates,MEA,100126,ISSR_AE_266,ACQ_MEA_602,"Dining at QuickBite Dubai, Dubai — AED29.90 via direct debit on 1 Feb 2025."
TXN20250221000297,68.77,U000215,21:29:34,2025-02-21,GBP,FreshMart Manchester 069,Manchester,MGB00069,CREDIT,53.489957,-2.247801,5411,GB,United Kingdom,EMEA,100069,ISSR_GB_118,ACQ_EMEA_503,Supermarket spend: FreshMart Manchester · Manchester · £68.77 · 21 Feb 2025 · Contactless.
TXN20250211000298,5155.06,U000735,22:09:49,2025-02-11,CAD,EduPrime Vancouver 194,Vancouver,MCA00194,CREDIT,49.304954,-123.110452,8220,CA,Canada,NA,100194,ISSR_CA_214,ACQ_NA_401,"Academic services at EduPrime Vancouver, Vancouver — CA$5,155.06 — 11 Feb 2025. Ref: 8PAJSSUU."
TXN20250215000299,117.43,U000406,15:48:25,2025-02-15,EUR,FreshMart Madrid 038,Madrid,MES00038,DEBIT,40.441517,-3.728768,5411,ES,Spain,EMEA,100038,ISSR_ES_145,ACQ_EMEA_501,"Grocery purchase at FreshMart Madrid, Madrid — €117.43 via ATM withdrawal on 15 Feb 2025."
TXN20250107000300,894.17,U000592,04:27:45,2025-01-07,CAD,CloudStay Toronto 147,Toronto,MCA00147,CREDIT,43.6299,-79.396919,7011,CA,Canada,NA,100147,ISSR_CA_214,ACQ_NA_403,"CA$894.17 charged by CloudStay Toronto hotel, Toronto, for stay on 7 Jan 2025."
TXN20250205000301,5.15,U000799,02:11:04,2025-02-05,GBP,StreamSphere Manchester 046,Manchester,MGB00046,PREPAID,53.495354,-2.234326,4899,GB,United Kingdom,EMEA,100046,ISSR_GB_118,ACQ_EMEA_503,Recurring subscription: StreamSphere Manchester — £5.15 auto-debited on 5 Feb 2025.
TXN20250318000302,814,U000270,23:19:40,2025-03-18,JPY,CloudStay Tokyo 088,Tokyo,MJP00088,CREDIT,35.692977,139.676605,7011,JP,Japan,APAC,100088,ISSR_JP_174,ACQ_APAC_703,Accommodation: CloudStay Tokyo · Tokyo · ¥814 · 18 Mar 2025.
TXN20250220000303,548,U000119,20:24:20,2025-02-20,JPY,EduPrime Osaka 158,Osaka,MJP00158,CREDIT,34.69284,135.463365,8220,JP,Japan,APAC,100158,ISSR_JP_287,ACQ_APAC_701,Tuition/course fee: EduPrime Osaka · Osaka · ¥548 · 20 Feb 2025.
TXN20250328000304,119.56,U000071,01:44:38,2025-03-28,AED,FreshMart Dubai 127,Dubai,MAE00127,DEBIT,25.177937,55.238269,5411,AE,United Arab Emirates,MEA,100127,ISSR_AE_152,ACQ_MEA_602,AED119.56 charged to your Debit card at FreshMart Dubai (Dubai) on 28 Mar 2025. Ref: VNZH13CD.
TXN20250124000305,2850,U000637,05:46:34,2025-01-24,JPY,FinServe Online Tokyo 004,Tokyo,MJP00004,CREDIT,35.651151,139.627088,6012,JP,Japan,APAC,100004,ISSR_JP_174,ACQ_APAC_701,"¥2,850 cash-equivalent transaction via FinServe Online Tokyo, Tokyo, on 24 Jan 2025. Ref: NHEYR8LNOE."
TXN20250324000306,494.33,U000296,09:08:38,2025-03-24,SGD,CloudStay Singapore 189,Singapore,MSG00189,CREDIT,1.378694,103.7807,7011,SG,Singapore,APAC,100189,ISSR_SG_271,ACQ_APAC_701,Accommodation: CloudStay Singapore · Singapore · S$494.33 · 24 Mar 2025.
TXN20250202000307,1239.73,U000156,16:00:33,2025-02-02,AUD,CloudStay Melbourne 024,Melbourne,MAU00024,CREDIT,-37.807806,144.938474,7011,AU,Australia,APAC,100024,ISSR_AU_276,ACQ_APAC_702,"A$1,239.73 charged by CloudStay Melbourne hotel, Melbourne, for stay on 2 Feb 2025."
TXN20250104000308,35.16,U000455,20:58:08,2025-01-04,EUR,RideNow Amsterdam 030,Amsterdam,MNL00030,CREDIT,52.387542,4.927355,4121,NL,Netherlands,EMEA,100030,ISSR_NL_255,ACQ_EMEA_501,"Taxi/ride-hailing charge from RideNow Amsterdam, Amsterdam — €35.16 — 4 Jan 2025."
TXN20250226000309,88.56,U000119,03:48:32,2025-02-26,CAD,PharmaDirect Vancouver 143,Vancouver,MCA00143,PREPAID,49.316335,-123.155481,5912,CA,Canada,NA,100143,ISSR_CA_214,ACQ_NA_403,Over-the-counter purchase at PharmaDirect Vancouver (Vancouver) — CA$88.56 — 26 Feb 2025.
TXN20250316000310,793.83,U000172,04:12:52,2025-03-16,AUD,Luxura Retail Melbourne 056,Melbourne,MAU00056,CREDIT,-37.775594,144.934682,5651,AU,Australia,APAC,100056,ISSR_AU_276,ACQ_APAC_701,Retail clothing: Luxura Retail Melbourne · Melbourne · A$793.83 · 16 Mar 2025. Ref: FLQBMA.
TXN20250331000311,50,U000175,01:37:46,2025-03-31,JPY,RideNow Osaka 049,Osaka,MJP00049,PREPAID,34.699855,135.497022,4121,JP,Japan,APAC,100049,ISSR_JP_174,ACQ_APAC_702,Local transport: RideNow Osaka · Osaka · ¥50 · 31 Mar 2025. Ref: HNUXOR.
TXN20250308000312,133.0,U000396,16:52:08,2025-03-08,INR,PharmaDirect Bengaluru 180,Bengaluru,MIN00180,CREDIT,12.96902,77.582411,5912,IN,India,APAC,100180,ISSR_IN_302,ACQ_APAC_702,Over-the-counter purchase at PharmaDirect Bengaluru (Bengaluru) — INR133 — 8 Mar 2025.
TXN20250211000313,3892.72,U000481,14:15:59,2025-02-11,EUR,EduPrime Amsterdam 161,Amsterdam,MNL00161,CREDIT,52.386314,4.937663,8220,NL,Netherlands,EMEA,100161,ISSR_NL_255,ACQ_EMEA_503,"Academic services at EduPrime Amsterdam, Amsterdam — €3,892.72 — 11 Feb 2025. Ref: GU2HBIK2."
TXN20250220000314,176,U000069,09:44:20,2025-02-20,JPY,UrbanTable Tokyo 157,Tokyo,MJP00157,DEBIT,35.64069,139.667596,5812,JP,Japan,APAC,100157,ISSR_JP_174,ACQ_APAC_701,"Dining at UrbanTable Tokyo, Tokyo — ¥176 via direct debit on 20 Feb 2025."
TXN20250317000315,4647.34,U000310,07:30:41,2025-03-17,AED,EduPrime Dubai 020,Dubai,MAE00020,CREDIT,25.176931,55.262659,8220,AE,United Arab Emirates,MEA,100020,ISSR_AE_266,ACQ_MEA_601,"Education payment to EduPrime Dubai, Dubai — AED4,647.34 on 17 Mar 2025. Invoice: 1PHP0XI5."
TXN20250116000316,31.38,U000220,20:42:12,2025-01-16,GBP,QuickBite London 188,London,MGB00188,DEBIT,51.533314,-0.133847,5814,GB,United Kingdom,EMEA,100188,ISSR_GB_118,ACQ_EMEA_501,Restaurant bill: QuickBite London · London · £31.38 · 16 Jan 2025.
TXN20250306000317,19.16,U000406,17:43:19,2025-03-06,CAD,QuickBite Toronto 093,Toronto,MCA00093,DEBIT,43.638115,-79.360493,5814,CA,Canada,NA,100093,ISSR_CA_214,ACQ_NA_401,Restaurant bill: QuickBite Toronto · Toronto · CA$19.16 · 6 Mar 2025.
TXN20250217000318,339.06,U000568,12:18:36,2025-02-17,USD,ElectroHub Chicago 135,Chicago,MUS00135,CREDIT,41.893054,-87.607493,5732,US,United States,NA,100135,ISSR_US_205,ACQ_NA_401,"Electronics purchase at ElectroHub Chicago, Chicago — $339.06 via contactless on 17 Feb 2025."
TXN20250127000319,77.73,U000595,08:32:36,2025-01-27,USD,RideNow Chicago 059,Chicago,MUS00059,PREPAID,41.912459,-87.630119,4121,US,United States,NA,100059,ISSR_US_101,ACQ_NA_401,"Taxi/ride-hailing charge from RideNow Chicago, Chicago — $77.73 — 27 Jan 2025."
TXN20250214000320,59.32,U000734,09:40:34,2025-02-14,EUR,FreshMart Madrid 038,Madrid,MES00038,CREDIT,40.385191,-3.706278,5411,ES,Spain,EMEA,100038,ISSR_ES_145,ACQ_EMEA_501,In-store grocery payment to FreshMart Madrid in Madrid for €59.32 on 14 Feb 2025.
TXN20250122000321,1443.42,U000784,07:02:39,2025-01-22,EUR,ElectroHub Madrid 100,Madrid,MES00100,CREDIT,40.416976,-3.71865,5732,ES,Spain,EMEA,100100,ISSR_ES_145,ACQ_EMEA_502,"High-value electronics charge at ElectroHub Madrid (Madrid) — €1,443.42 — 22 Jan 2025."
TXN20250110000322,23,U000493,11:36:33,2025-01-10,JPY,QuickBite Tokyo 121,Tokyo,MJP00121,PREPAID,35.70699,139.678622,5814,JP,Japan,APAC,100121,ISSR_JP_174,ACQ_APAC_703,¥23 food & beverage charge at QuickBite Tokyo (Tokyo) on 10 Jan 2025.
TXN20250116000323,179.16,U000196,12:25:35,2025-01-16,EUR,FreshMart Amsterdam 109,Amsterdam,MNL00109,CREDIT,52.354607,4.919062,5411,NL,Netherlands,EMEA,100109,ISSR_NL_149,ACQ_EMEA_501,€179.16 charged to your Credit card at FreshMart Amsterdam (Amsterdam) on 16 Jan 2025. Ref: 2O83RLKT.
TXN20250212000324,10.67,U000671,18:31:02,2025-02-12,USD,StreamSphere Chicago 213,Chicago,MUS00213,PREPAID,41.843137,-87.610018,4899,US,United States,NA,100213,ISSR_US_101,ACQ_NA_401,$10.67 deducted for StreamSphere Chicago digital subscription on 12 Feb 2025.
TXN20250123000325,47.11,U000634,18:44:33,2025-01-23,EUR,MetroFuel Amsterdam 078,Amsterdam,MNL00078,DEBIT,52.335975,4.865545,5541,NL,Netherlands,EMEA,100078,ISSR_NL_255,ACQ_EMEA_502,Petrol station charge: MetroFuel Amsterdam · Amsterdam · €47.11 · 23 Jan 2025.
TXN20250222000326,2102.31,U000737,13:45:01,2025-02-22,USD,ElectroHub Chicago 171,Chicago,MUS00171,DEBIT,41.859896,-87.615483,5732,US,United States,NA,100171,ISSR_US_101,ACQ_NA_403,"High-value electronics charge at ElectroHub Chicago (Chicago) — $2,102.31 — 22 Feb 2025."
TXN20250116000327,113.83,U000589,12:26:03,2025-01-16,AUD,UrbanTable Sydney 220,Sydney,MAU00220,CREDIT,-33.850921,151.184608,5812,AU,Australia,APAC,100220,ISSR_AU_163,ACQ_APAC_703,"Dining at UrbanTable Sydney, Sydney — A$113.83 via online on 16 Jan 2025."
TXN20250116000328,18,U000484,01:02:29,2025-01-16,JPY,QuickBite Osaka 133,Osaka,MJP00133,DEBIT,34.729423,135.463991,5814,JP,Japan,APAC,100133,ISSR_JP_287,ACQ_APAC_703,"Food & drink purchase at QuickBite Osaka, Osaka — ¥18 — 16 Jan 2025. Ref: VSQAME."
TXN20250320000329,83.26,U000341,22:51:29,2025-03-20,CAD,MetroFuel Toronto 044,Toronto,MCA00044,DEBIT,43.666651,-79.390904,5541,CA,Canada,NA,100044,ISSR_CA_110,ACQ_NA_403,CA$83.26 Debit payment at MetroFuel Toronto (Toronto) fuel station.
TXN20250109000330,58.0,U000751,02:54:26,2025-01-09,INR,FreshMart Bengaluru 021,Bengaluru,MIN00021,DEBIT,12.969022,77.559434,5411,IN,India,APAC,100021,ISSR_IN_188,ACQ_APAC_703,INR58 charged to your Debit card at FreshMart Bengaluru (Bengaluru) on 9 Jan 2025. Ref: E11E9FTA.
TXN20250327000331,4385.57,U000035,19:10:01,2025-03-27,EUR,EduPrime Amsterdam 161,Amsterdam,MNL00161,CREDIT,52.367162,4.895497,8220,NL,Netherlands,EMEA,100161,ISSR_NL_255,ACQ_EMEA_503,"Education payment to EduPrime Amsterdam, Amsterdam — €4,385.57 on 27 Mar 2025. Invoice: P0WFOY4D."
TXN20250111000332,347.46,U000116,21:12:37,2025-01-11,EUR,Luxura Retail Madrid 092,Madrid,MES00092,DEBIT,40.444378,-3.668815,5651,ES,Spain,EMEA,100092,ISSR_ES_241,ACQ_EMEA_501,€347.46 charged to your Debit card at Luxura Retail Madrid (Madrid).
TXN20250221000333,62.0,U000553,13:53:57,2025-02-21,INR,MetroFuel Bengaluru 131,Bengaluru,MIN00131,DEBIT,12.939002,77.580348,5541,IN,India,APAC,100131,ISSR_IN_188,ACQ_APAC_702,"Fuel & convenience purchase at MetroFuel Bengaluru, Bengaluru — INR62 on 21 Feb 2025. Ref: XIVZK7."
TXN20250320000334,83,U000599,15:56:35,2025-03-20,JPY,UrbanTable Tokyo 157,Tokyo,MJP00157,CREDIT,35.70425,139.6251,5812,JP,Japan,APAC,100157,ISSR_JP_174,ACQ_APAC_701,Restaurant bill: UrbanTable Tokyo · Tokyo · ¥83 · 20 Mar 2025.
TXN20250102000335,88.11,U000070,13:01:35,2025-01-02,EUR,FreshMart Berlin 071,Berlin,MDE00071,PREPAID,52.518041,13.431156,5411,DE,Germany,EMEA,100071,ISSR_DE_132,ACQ_EMEA_503,In-store grocery payment to FreshMart Berlin in Berlin for €88.11 on 2 Jan 2025.
TXN20250223000336,152.01,U000781,09:39:54,2025-02-23,SGD,PharmaDirect Singapore 061,Singapore,MSG00061,CREDIT,1.327537,103.813958,5912,SG,Singapore,APAC,100061,ISSR_SG_271,ACQ_APAC_703,Over-the-counter purchase at PharmaDirect Singapore (Singapore) — S$152.01 — 23 Feb 2025.
TXN20250204000337,60.8,U000468,20:24:22,2025-02-04,EUR,MetroFuel Madrid 067,Madrid,MES00067,PREPAID,40.436499,-3.721596,5541,ES,Spain,EMEA,100067,ISSR_ES_241,ACQ_EMEA_503,"Fuel & convenience purchase at MetroFuel Madrid, Madrid — €60.80 on 4 Feb 2025. Ref: NY181A."
TXN20250328000338,2386.98,U000828,05:42:54,2025-03-28,EUR,FinServe Online Berlin 185,Berlin,MDE00185,CREDIT,52.551878,13.385396,6012,DE,Germany,EMEA,100185,ISSR_DE_238,ACQ_EMEA_502,"Fund transfer / payment: FinServe Online Berlin · Berlin · €2,386.98 · 28 Mar 2025."
TXN20250111000339,15.91,U000016,14:20:13,2025-01-11,AUD,StreamSphere Melbourne 084,Melbourne,MAU00084,DEBIT,-37.819706,144.976925,4899,AU,Australia,APAC,100084,ISSR_AU_163,ACQ_APAC_702,A$15.91 deducted for StreamSphere Melbourne digital subscription on 11 Jan 2025.
TXN20250226000340,73.91,U000717,10:04:46,2025-02-26,USD,FreshMart Chicago 117,Chicago,MUS00117,DEBIT,41.892392,-87.648443,5411,US,United States,NA,100117,ISSR_US_319,ACQ_NA_401,"Grocery purchase at FreshMart Chicago, Chicago — $73.91 via direct debit on 26 Feb 2025."
TXN20250105000341,114,U000773,01:51:02,2025-01-05,JPY,FreshMart Osaka 137,Osaka,MJP00137,DEBIT,34.705953,135.534554,5411,JP,Japan,APAC,100137,ISSR_JP_287,ACQ_APAC_701,"Grocery purchase at FreshMart Osaka, Osaka — ¥114 via tap-to-pay on 5 Jan 2025."
TXN20250324000342,734,U000799,06:54:39,2025-03-24,JPY,ElectroHub Tokyo 154,Tokyo,MJP00154,CREDIT,35.705054,139.624571,5732,JP,Japan,APAC,100154,ISSR_JP_174,ACQ_APAC_701,"Electronics purchase at ElectroHub Tokyo, Tokyo — ¥734 via chip & PIN on 24 Mar 2025."
TXN20250320000343,39.86,U000145,06:07:20,2025-03-20,AED,FreshMart Dubai 170,Dubai,MAE00170,PREPAID,25.199633,55.283155,5411,AE,United Arab Emirates,MEA,100170,ISSR_AE_152,ACQ_MEA_601,"Grocery purchase at FreshMart Dubai, Dubai — AED39.86 via contactless on 20 Mar 2025."
TXN20250209000344,77.31,U000428,11:46:47,2025-02-09,USD,RideNow Chicago 059,Chicago,MUS00059,PREPAID,41.862566,-87.590998,4121,US,United States,NA,100059,ISSR_US_101,ACQ_NA_401,Ride & transport: RideNow Chicago (Chicago) — $77.31 on 9 Feb 2025.
TXN20250222000345,34.85,U000819,17:00:32,2025-02-22,EUR,RideNow Amsterdam 030,Amsterdam,MNL00030,CREDIT,52.357235,4.927009,4121,NL,Netherlands,EMEA,100030,ISSR_NL_255,ACQ_EMEA_501,Local transport: RideNow Amsterdam · Amsterdam · €34.85 · 22 Feb 2025. Ref: ISB5IQ.
TXN20250126000346,18.94,U000100,12:56:05,2025-01-26,GBP,QuickBite Manchester 064,Manchester,MGB00064,CREDIT,53.441196,-2.241608,5814,GB,United Kingdom,EMEA,100064,ISSR_GB_224,ACQ_EMEA_501,Restaurant bill: QuickBite Manchester · Manchester · £18.94 · 26 Jan 2025.
TXN20250112000347,147.14,U000747,10:43:26,2025-01-12,HKD,MetroFuel Hong Kong 195,Hong Kong,MHK00195,DEBIT,22.343817,114.206572,5541,HK,Hong Kong,APAC,100195,ISSR_HK_181,ACQ_APAC_701,"Fuel & convenience purchase at MetroFuel Hong Kong, Hong Kong — HKD147.14 on 12 Jan 2025. Ref: LOZJCN."
TXN20250321000348,56.8,U000044,11:28:13,2025-03-21,EUR,RideNow Berlin 146,Berlin,MDE00146,DEBIT,52.535874,13.413079,4121,DE,Germany,EMEA,100146,ISSR_DE_238,ACQ_EMEA_501,"€56.80 transport payment via RideNow Berlin, Berlin, on 21 Mar 2025."
TXN20250322000349,76.3,U000566,23:40:53,2025-03-22,GBP,FreshMart London 191,London,MGB00191,DEBIT,51.540713,-0.094773,5411,GB,United Kingdom,EMEA,100191,ISSR_GB_224,ACQ_EMEA_502,In-store grocery payment to FreshMart London in London for £76.30 on 22 Mar 2025.
TXN20250129000350,110.0,U000432,00:42:51,2025-01-29,INR,MarketSquare Bengaluru 029,Bengaluru,MIN00029,PREPAID,12.971563,77.626326,5311,IN,India,APAC,100029,ISSR_IN_302,ACQ_APAC_703,"INR110 Prepaid payment at MarketSquare Bengaluru, Bengaluru."
TXN20250210000351,11.68,U000802,18:23:59,2025-02-10,EUR,QuickBite Madrid 217,Madrid,MES00217,PREPAID,40.423797,-3.691706,5814,ES,Spain,EMEA,100217,ISSR_ES_145,ACQ_EMEA_502,€11.68 food & beverage charge at QuickBite Madrid (Madrid) on 10 Feb 2025.
TXN20250227000352,74.0,U000313,04:21:30,2025-02-27,INR,FreshMart Bengaluru 011,Bengaluru,MIN00011,CREDIT,12.933964,77.575107,5411,IN,India,APAC,100011,ISSR_IN_188,ACQ_APAC_701,INR74 charged to your Credit card at FreshMart Bengaluru (Bengaluru) on 27 Feb 2025. Ref: H9P89FKB.
TXN20250320000353,1515.95,U000598,22:50:21,2025-03-20,USD,SkyJet Travel San Francisco 150,San Francisco,MUS00150,CREDIT,37.749779,-122.432502,4511,US,United States,NA,100150,ISSR_US_101,ACQ_NA_401,"Flight booking at SkyJet Travel San Francisco (San Francisco) — $1,515.95 charged on 20 Mar 2025. PNR: 6SZN9D."
TXN20250327000354,856.69,U000405,00:20:46,2025-03-27,EUR,Luxura Retail Madrid 087,Madrid,MES00087,DEBIT,40.381742,-3.670711,5651,ES,Spain,EMEA,100087,ISSR_ES_145,ACQ_EMEA_503,Retail clothing: Luxura Retail Madrid · Madrid · €856.69 · 27 Mar 2025. Ref: E3CUP8.
TXN20250226000355,608,U000222,05:26:13,2025-02-26,JPY,SkyJet Travel Osaka 104,Osaka,MJP00104,CREDIT,34.689123,135.537725,4511,JP,Japan,APAC,100104,ISSR_JP_287,ACQ_APAC_702,Travel purchase — SkyJet Travel Osaka (Osaka): ¥608 on 26 Feb 2025 using Visa Credit. Ref: K47O3L.
TXN20250225000356,1394.16,U000723,15:11:32,2025-02-25,USD,SkyJet Travel New York 034,New York,MUS00034,CREDIT,40.69131,-73.998411,4511,US,United States,NA,100034,ISSR_US_205,ACQ_NA_402,"Airline ticket: SkyJet Travel New York · $1,394.16 · 25 Feb 2025 · Booking ref JCH2VF."
TXN20250324000357,15.88,U000237,00:08:29,2025-03-24,GBP,FreshMart Manchester 163,Manchester,MGB00163,DEBIT,53.497699,-2.272816,5411,GB,United Kingdom,EMEA,100163,ISSR_GB_224,ACQ_EMEA_502,£15.88 charged to your Debit card at FreshMart Manchester (Manchester) on 24 Mar 2025. Ref: QOT8HLJE.
