merchant_id,merchant_name,merchant_category_text,merchant_city,merchant_country_code,merchant_region_code,transaction_count,average_amount,preferred_currency_code,dominant_card_type,amount_profile,top_risk_tags,merchant_text_summary
MES00107,EduPrime Madrid 107,education services,Madrid,ES,EMEA,25,3538.78,EUR,credit card,very high-value,"very high-value, late-night activity, weekend spend","EduPrime Madrid 107 is a education services merchant in Madrid, ES, within the EMEA region. Across 25 transactions, it shows very high-value spend with an average transaction value of 3538.78 EUR. The merchant most often sees credit card usage and is commonly associated with very high-value, late-night activity, weekend spend."
MES00175,EduPrime Madrid 175,education services,Madrid,ES,EMEA,27,3374.39,EUR,credit card,very high-value,"very high-value, weekend spend, high-value","EduPrime Madrid 175 is a education services merchant in Madrid, ES, within the EMEA region. Across 27 transactions, it shows very high-value spend with an average transaction value of 3374.39 EUR. The merchant most often sees credit card usage and is commonly associated with very high-value, weekend spend, high-value."
MES00217,QuickBite Madrid 217,quick service dining,Madrid,ES,EMEA,28,20.45,EUR,credit card,small-ticket,"everyday consumer spend, weekend spend, prepaid instrument","QuickBite Madrid 217 is a quick service dining merchant in Madrid, ES, within the EMEA region. Across 28 transactions, it shows small-ticket spend with an average transaction value of 20.45 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MFR00008,MetroFuel Paris 008,fuel and convenience,Paris,FR,EMEA,22,85.95,EUR,credit card,small-ticket,"weekend spend, everyday consumer spend, late-night activity","MetroFuel Paris 008 is a fuel and convenience merchant in Paris, FR, within the EMEA region. Across 22 transactions, it shows small-ticket spend with an average transaction value of 85.95 EUR. The merchant most often sees credit card usage and is commonly associated with weekend spend, everyday consumer spend, late-night activity."
MFR00015,EduPrime Paris 015,education services,Paris,FR,EMEA,29,4102.02,EUR,credit card,very high-value,"very high-value, weekend spend, late-night activity","EduPrime Paris 015 is a education services merchant in Paris, FR, within the EMEA region. Across 29 transactions, it shows very high-value spend with an average transaction value of 4102.02 EUR. The merchant most often sees credit card usage and is commonly associated with very high-value, weekend spend, late-night activity."
MFR00042,ElectroHub Paris 042,consumer electronics,Paris,FR,EMEA,40,1046.3,EUR,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Paris 042 is a consumer electronics merchant in Paris, FR, within the EMEA region. Across 40 transactions, it shows high-value spend with an average transaction value of 1046.3 EUR. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MFR00072,QuickBite Paris 072,quick service dining,Paris,FR,EMEA,28,23.6,EUR,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","QuickBite Paris 072 is a quick service dining merchant in Paris, FR, within the EMEA region. Across 28 transactions, it shows small-ticket spend with an average transaction value of 23.6 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MFR00122,UrbanTable Paris 122,restaurant dining,Paris,FR,EMEA,27,110.28,EUR,credit card,mid-value,"everyday consumer spend, late-night activity, weekend spend","UrbanTable Paris 122 is a restaurant dining merchant in Paris, FR, within the EMEA region. Across 27 transactions, it shows mid-value spend with an average transaction value of 110.28 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MFR00148,PharmaDirect Paris 148,pharmacy and wellness,Paris,FR,EMEA,27,114.58,EUR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Paris 148 is a pharmacy and wellness merchant in Paris, FR, within the EMEA region. Across 27 transactions, it shows mid-value spend with an average transaction value of 114.58 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MFR00177,PharmaDirect Paris 177,pharmacy and wellness,Paris,FR,EMEA,29,88.71,EUR,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Paris 177 is a pharmacy and wellness merchant in Paris, FR, within the EMEA region. Across 29 transactions, it shows small-ticket spend with an average transaction value of 88.71 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MFR00182,PharmaDirect Paris 182,pharmacy and wellness,Paris,FR,EMEA,29,109.6,EUR,credit card,mid-value,"weekend spend, everyday consumer spend, prepaid instrument","PharmaDirect Paris 182 is a pharmacy and wellness merchant in Paris, FR, within the EMEA region. Across 29 transactions, it shows mid-value spend with an average transaction value of 109.6 EUR. The merchant most often sees credit card usage and is commonly associated with weekend spend, everyday consumer spend, prepaid instrument."
MFR00192,EduPrime Paris 192,education services,Paris,FR,EMEA,26,3302.36,EUR,credit card,very high-value,"very high-value, late-night activity, high-value","EduPrime Paris 192 is a education services merchant in Paris, FR, within the EMEA region. Across 26 transactions, it shows very high-value spend with an average transaction value of 3302.36 EUR. The merchant most often sees credit card usage and is commonly associated with very high-value, late-night activity, high-value."
MFR00201,Luxura Retail Paris 201,fashion retail,Paris,FR,EMEA,33,618.76,EUR,credit card,high-value,"high-value, everyday consumer spend, late-night activity","Luxura Retail Paris 201 is a fashion retail merchant in Paris, FR, within the EMEA region. Across 33 transactions, it shows high-value spend with an average transaction value of 618.76 EUR. The merchant most often sees credit card usage and is commonly associated with high-value, everyday consumer spend, late-night activity."
MFR00212,MediCare Plus Paris 212,healthcare services,Paris,FR,EMEA,27,203.06,EUR,credit card,mid-value,"everyday consumer spend, late-night activity, weekend spend","MediCare Plus Paris 212 is a healthcare services merchant in Paris, FR, within the EMEA region. Across 27 transactions, it shows mid-value spend with an average transaction value of 203.06 EUR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MGB00001,FinServe Online Manchester 001,financial services,Manchester,GB,EMEA,29,2410.8,GBP,credit card,very high-value,"cash-like financial services, very high-value, weekend spend","FinServe Online Manchester 001 is a financial services merchant in Manchester, GB, within the EMEA region. Across 29 transactions, it shows very high-value spend with an average transaction value of 2410.8 GBP. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, weekend spend."
MGB00027,FinServe Online Manchester 027,financial services,Manchester,GB,EMEA,30,2489.76,GBP,credit card,very high-value,"cash-like financial services, very high-value, high-value","FinServe Online Manchester 027 is a financial services merchant in Manchester, GB, within the EMEA region. Across 30 transactions, it shows very high-value spend with an average transaction value of 2489.76 GBP. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, high-value."
MGB00043,PharmaDirect London 043,pharmacy and wellness,London,GB,EMEA,27,112.76,GBP,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect London 043 is a pharmacy and wellness merchant in London, GB, within the EMEA region. Across 27 transactions, it shows mid-value spend with an average transaction value of 112.76 GBP. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MGB00046,StreamSphere Manchester 046,digital subscription services,Manchester,GB,EMEA,24,13.99,GBP,credit card,micro-ticket,"digital recurring, weekend spend, late-night activity","StreamSphere Manchester 046 is a digital subscription services merchant in Manchester, GB, within the EMEA region. Across 24 transactions, it shows micro-ticket spend with an average transaction value of 13.99 GBP. The merchant most often sees credit card usage and is commonly associated with digital recurring, weekend spend, late-night activity."
MGB00054,ElectroHub Manchester 054,consumer electronics,Manchester,GB,EMEA,20,1017.39,GBP,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Manchester 054 is a consumer electronics merchant in Manchester, GB, within the EMEA region. Across 20 transactions, it shows high-value spend with an average transaction value of 1017.39 GBP. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MGB00064,QuickBite Manchester 064,quick service dining,Manchester,GB,EMEA,33,23.4,GBP,debit card,small-ticket,"everyday consumer spend, prepaid instrument, weekend spend","QuickBite Manchester 064 is a quick service dining merchant in Manchester, GB, within the EMEA region. Across 33 transactions, it shows small-ticket spend with an average transaction value of 23.4 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, prepaid instrument, weekend spend."
MGB00065,MetroFuel London 065,fuel and convenience,London,GB,EMEA,25,97.67,GBP,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","MetroFuel London 065 is a fuel and convenience merchant in London, GB, within the EMEA region. Across 25 transactions, it shows small-ticket spend with an average transaction value of 97.67 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MGB00069,FreshMart Manchester 069,grocery retail,Manchester,GB,EMEA,26,95.41,GBP,debit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","FreshMart Manchester 069 is a grocery retail merchant in Manchester, GB, within the EMEA region. Across 26 transactions, it shows small-ticket spend with an average transaction value of 95.41 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MGB00094,Luxura Retail Manchester 094,fashion retail,Manchester,GB,EMEA,40,640.13,GBP,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Manchester 094 is a fashion retail merchant in Manchester, GB, within the EMEA region. Across 40 transactions, it shows high-value spend with an average transaction value of 640.13 GBP. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MGB00106,ElectroHub Manchester 106,consumer electronics,Manchester,GB,EMEA,24,1159.76,GBP,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Manchester 106 is a consumer electronics merchant in Manchester, GB, within the EMEA region. Across 24 transactions, it shows high-value spend with an average transaction value of 1159.76 GBP. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MGB00132,PharmaDirect London 132,pharmacy and wellness,London,GB,EMEA,26,93.08,GBP,credit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","PharmaDirect London 132 is a pharmacy and wellness merchant in London, GB, within the EMEA region. Across 26 transactions, it shows small-ticket spend with an average transaction value of 93.08 GBP. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MGB00141,FinServe Online Manchester 141,financial services,Manchester,GB,EMEA,28,2409.7,GBP,credit card,very high-value,"cash-like financial services, very high-value, high-value","FinServe Online Manchester 141 is a financial services merchant in Manchester, GB, within the EMEA region. Across 28 transactions, it shows very high-value spend with an average transaction value of 2409.7 GBP. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, high-value."
MGB00145,ElectroHub London 145,consumer electronics,London,GB,EMEA,22,1096.96,GBP,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub London 145 is a consumer electronics merchant in London, GB, within the EMEA region. Across 22 transactions, it shows high-value spend with an average transaction value of 1096.96 GBP. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MGB00160,RideNow Manchester 160,ride-hailing and local transport,Manchester,GB,EMEA,27,38.15,GBP,prepaid card,small-ticket,"prepaid instrument, everyday consumer spend, weekend spend","RideNow Manchester 160 is a ride-hailing and local transport merchant in Manchester, GB, within the EMEA region. Across 27 transactions, it shows small-ticket spend with an average transaction value of 38.15 GBP. The merchant most often sees prepaid card usage and is commonly associated with prepaid instrument, everyday consumer spend, weekend spend."
MGB00163,FreshMart Manchester 163,grocery retail,Manchester,GB,EMEA,25,93.06,GBP,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","FreshMart Manchester 163 is a grocery retail merchant in Manchester, GB, within the EMEA region. Across 25 transactions, it shows small-ticket spend with an average transaction value of 93.06 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MGB00168,MetroFuel London 168,fuel and convenience,London,GB,EMEA,25,92.64,GBP,credit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","MetroFuel London 168 is a fuel and convenience merchant in London, GB, within the EMEA region. Across 25 transactions, it shows small-ticket spend with an average transaction value of 92.64 GBP. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MGB00174,UrbanTable London 174,restaurant dining,London,GB,EMEA,24,106.35,GBP,credit card,mid-value,"everyday consumer spend, weekend spend, prepaid instrument","UrbanTable London 174 is a restaurant dining merchant in London, GB, within the EMEA region. Across 24 transactions, it shows mid-value spend with an average transaction value of 106.35 GBP. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MGB00183,CloudStay Manchester 183,lodging and hospitality,Manchester,GB,EMEA,31,984.88,GBP,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Manchester 183 is a lodging and hospitality merchant in Manchester, GB, within the EMEA region. Across 31 transactions, it shows high-value spend with an average transaction value of 984.88 GBP. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MGB00188,QuickBite London 188,quick service dining,London,GB,EMEA,28,23.38,GBP,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","QuickBite London 188 is a quick service dining merchant in London, GB, within the EMEA region. Across 28 transactions, it shows small-ticket spend with an average transaction value of 23.38 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MGB00191,FreshMart London 191,grocery retail,London,GB,EMEA,25,88.24,GBP,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","FreshMart London 191 is a grocery retail merchant in London, GB, within the EMEA region. Across 25 transactions, it shows small-ticket spend with an average transaction value of 88.24 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MGB00199,MarketSquare London 199,general retail,London,GB,EMEA,32,220.85,GBP,debit card,mid-value,"everyday consumer spend, weekend spend, prepaid instrument","MarketSquare London 199 is a general retail merchant in London, GB, within the EMEA region. Across 32 transactions, it shows mid-value spend with an average transaction value of 220.85 GBP. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MGB00219,UrbanTable London 219,restaurant dining,London,GB,EMEA,31,112.68,GBP,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","UrbanTable London 219 is a restaurant dining merchant in London, GB, within the EMEA region. Across 31 transactions, it shows mid-value spend with an average transaction value of 112.68 GBP. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MHK00010,Luxura Retail Hong Kong 010,fashion retail,Hong Kong,HK,APAC,20,613.67,HKD,credit card,high-value,"high-value, everyday consumer spend, late-night activity","Luxura Retail Hong Kong 010 is a fashion retail merchant in Hong Kong, HK, within the APAC region. Across 20 transactions, it shows high-value spend with an average transaction value of 613.67 HKD. The merchant most often sees credit card usage and is commonly associated with high-value, everyday consumer spend, late-night activity."
MHK00053,QuickBite Hong Kong 053,quick service dining,Hong Kong,HK,APAC,15,20.38,HKD,credit card,small-ticket,"weekend spend, prepaid instrument, everyday consumer spend","QuickBite Hong Kong 053 is a quick service dining merchant in Hong Kong, HK, within the APAC region. Across 15 transactions, it shows small-ticket spend with an average transaction value of 20.38 HKD. The merchant most often sees credit card usage and is commonly associated with weekend spend, prepaid instrument, everyday consumer spend."
MHK00091,ElectroHub Hong Kong 091,consumer electronics,Hong Kong,HK,APAC,16,1319.64,HKD,credit card,high-value,"premium electronics, high-value, late-night activity","ElectroHub Hong Kong 091 is a consumer electronics merchant in Hong Kong, HK, within the APAC region. Across 16 transactions, it shows high-value spend with an average transaction value of 1319.64 HKD. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, late-night activity."
MHK00151,RideNow Hong Kong 151,ride-hailing and local transport,Hong Kong,HK,APAC,22,40.66,HKD,credit card,small-ticket,"everyday consumer spend, late-night activity, prepaid instrument","RideNow Hong Kong 151 is a ride-hailing and local transport merchant in Hong Kong, HK, within the APAC region. Across 22 transactions, it shows small-ticket spend with an average transaction value of 40.66 HKD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, prepaid instrument."
MHK00159,QuickBite Hong Kong 159,quick service dining,Hong Kong,HK,APAC,19,20.49,HKD,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","QuickBite Hong Kong 159 is a quick service dining merchant in Hong Kong, HK, within the APAC region. Across 19 transactions, it shows small-ticket spend with an average transaction value of 20.49 HKD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MHK00195,MetroFuel Hong Kong 195,fuel and convenience,Hong Kong,HK,APAC,16,89.09,HKD,debit card,small-ticket,"weekend spend, late-night activity, everyday consumer spend","MetroFuel Hong Kong 195 is a fuel and convenience merchant in Hong Kong, HK, within the APAC region. Across 16 transactions, it shows small-ticket spend with an average transaction value of 89.09 HKD. The merchant most often sees debit card usage and is commonly associated with weekend spend, late-night activity, everyday consumer spend."
MHK00202,FreshMart Hong Kong 202,grocery retail,Hong Kong,HK,APAC,16,89.23,HKD,debit card,small-ticket,"everyday consumer spend, weekend spend, prepaid instrument","FreshMart Hong Kong 202 is a grocery retail merchant in Hong Kong, HK, within the APAC region. Across 16 transactions, it shows small-ticket spend with an average transaction value of 89.23 HKD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MIN00003,ElectroHub Bengaluru 003,consumer electronics,Bengaluru,IN,APAC,14,1202.57,INR,credit card,high-value,"premium electronics, high-value, weekend spend","ElectroHub Bengaluru 003 is a consumer electronics merchant in Bengaluru, IN, within the APAC region. Across 14 transactions, it shows high-value spend with an average transaction value of 1202.57 INR. The merchant most often sees credit card usage and is commonly associated with premium electronics, high-value, weekend spend."
MIN00009,SkyJet Travel Bengaluru 009,air travel,Bengaluru,IN,APAC,22,1319.82,INR,credit card,high-value,"travel-related, high-value, late-night activity","SkyJet Travel Bengaluru 009 is a air travel merchant in Bengaluru, IN, within the APAC region. Across 22 transactions, it shows high-value spend with an average transaction value of 1319.82 INR. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, late-night activity."
MIN00011,FreshMart Bengaluru 011,grocery retail,Bengaluru,IN,APAC,14,99.14,INR,credit card,small-ticket,"late-night activity, everyday consumer spend, weekend spend","FreshMart Bengaluru 011 is a grocery retail merchant in Bengaluru, IN, within the APAC region. Across 14 transactions, it shows small-ticket spend with an average transaction value of 99.14 INR. The merchant most often sees credit card usage and is commonly associated with late-night activity, everyday consumer spend, weekend spend."
MIN00017,SkyJet Travel Bengaluru 017,air travel,Bengaluru,IN,APAC,15,1484.07,INR,credit card,high-value,"travel-related, high-value, late-night activity","SkyJet Travel Bengaluru 017 is a air travel merchant in Bengaluru, IN, within the APAC region. Across 15 transactions, it shows high-value spend with an average transaction value of 1484.07 INR. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, late-night activity."
MIN00021,FreshMart Bengaluru 021,grocery retail,Bengaluru,IN,APAC,26,85.65,INR,debit card,small-ticket,"weekend spend, everyday consumer spend, late-night activity","FreshMart Bengaluru 021 is a grocery retail merchant in Bengaluru, IN, within the APAC region. Across 26 transactions, it shows small-ticket spend with an average transaction value of 85.65 INR. The merchant most often sees debit card usage and is commonly associated with weekend spend, everyday consumer spend, late-night activity."
MIN00022,QuickBite Bengaluru 022,quick service dining,Bengaluru,IN,APAC,16,22.38,INR,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","QuickBite Bengaluru 022 is a quick service dining merchant in Bengaluru, IN, within the APAC region. Across 16 transactions, it shows small-ticket spend with an average transaction value of 22.38 INR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00029,MarketSquare Bengaluru 029,general retail,Bengaluru,IN,APAC,17,162.88,INR,debit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","MarketSquare Bengaluru 029 is a general retail merchant in Bengaluru, IN, within the APAC region. Across 17 transactions, it shows mid-value spend with an average transaction value of 162.88 INR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00037,SkyJet Travel Mumbai 037,air travel,Mumbai,IN,APAC,19,1328.58,INR,credit card,high-value,"high-value, travel-related, weekend spend","SkyJet Travel Mumbai 037 is a air travel merchant in Mumbai, IN, within the APAC region. Across 19 transactions, it shows high-value spend with an average transaction value of 1328.58 INR. The merchant most often sees credit card usage and is commonly associated with high-value, travel-related, weekend spend."
MIN00082,MetroFuel Bengaluru 082,fuel and convenience,Bengaluru,IN,APAC,19,103.26,INR,debit card,mid-value,"everyday consumer spend, prepaid instrument, late-night activity","MetroFuel Bengaluru 082 is a fuel and convenience merchant in Bengaluru, IN, within the APAC region. Across 19 transactions, it shows mid-value spend with an average transaction value of 103.26 INR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, prepaid instrument, late-night activity."
MIN00103,Luxura Retail Bengaluru 103,fashion retail,Bengaluru,IN,APAC,17,593.88,INR,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Bengaluru 103 is a fashion retail merchant in Bengaluru, IN, within the APAC region. Across 17 transactions, it shows high-value spend with an average transaction value of 593.88 INR. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MIN00113,PharmaDirect Mumbai 113,pharmacy and wellness,Mumbai,IN,APAC,20,96.95,INR,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Mumbai 113 is a pharmacy and wellness merchant in Mumbai, IN, within the APAC region. Across 20 transactions, it shows small-ticket spend with an average transaction value of 96.95 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00115,FinServe Online Mumbai 115,financial services,Mumbai,IN,APAC,12,2687.25,INR,credit card,very high-value,"cash-like financial services, very high-value, late-night activity","FinServe Online Mumbai 115 is a financial services merchant in Mumbai, IN, within the APAC region. Across 12 transactions, it shows very high-value spend with an average transaction value of 2687.25 INR. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, late-night activity."
MIN00118,SkyJet Travel Mumbai 118,air travel,Mumbai,IN,APAC,14,1161.93,INR,credit card,high-value,"travel-related, high-value, weekend spend","SkyJet Travel Mumbai 118 is a air travel merchant in Mumbai, IN, within the APAC region. Across 14 transactions, it shows high-value spend with an average transaction value of 1161.93 INR. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MIN00128,StreamSphere Bengaluru 128,digital subscription services,Bengaluru,IN,APAC,19,15.53,INR,credit card,micro-ticket,"digital recurring, late-night activity, prepaid instrument","StreamSphere Bengaluru 128 is a digital subscription services merchant in Bengaluru, IN, within the APAC region. Across 19 transactions, it shows micro-ticket spend with an average transaction value of 15.53 INR. The merchant most often sees credit card usage and is commonly associated with digital recurring, late-night activity, prepaid instrument."
MIN00131,MetroFuel Bengaluru 131,fuel and convenience,Bengaluru,IN,APAC,18,85.61,INR,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","MetroFuel Bengaluru 131 is a fuel and convenience merchant in Bengaluru, IN, within the APAC region. Across 18 transactions, it shows small-ticket spend with an average transaction value of 85.61 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00138,MediCare Plus Mumbai 138,healthcare services,Mumbai,IN,APAC,19,296.79,INR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","MediCare Plus Mumbai 138 is a healthcare services merchant in Mumbai, IN, within the APAC region. Across 19 transactions, it shows mid-value spend with an average transaction value of 296.79 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00152,MediCare Plus Bengaluru 152,healthcare services,Bengaluru,IN,APAC,19,235.05,INR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","MediCare Plus Bengaluru 152 is a healthcare services merchant in Bengaluru, IN, within the APAC region. Across 19 transactions, it shows mid-value spend with an average transaction value of 235.05 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00178,CloudStay Mumbai 178,lodging and hospitality,Mumbai,IN,APAC,13,662.23,INR,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Mumbai 178 is a lodging and hospitality merchant in Mumbai, IN, within the APAC region. Across 13 transactions, it shows high-value spend with an average transaction value of 662.23 INR. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MIN00180,PharmaDirect Bengaluru 180,pharmacy and wellness,Bengaluru,IN,APAC,14,120.64,INR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Bengaluru 180 is a pharmacy and wellness merchant in Bengaluru, IN, within the APAC region. Across 14 transactions, it shows mid-value spend with an average transaction value of 120.64 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00184,CloudStay Mumbai 184,lodging and hospitality,Mumbai,IN,APAC,18,857.83,INR,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Mumbai 184 is a lodging and hospitality merchant in Mumbai, IN, within the APAC region. Across 18 transactions, it shows high-value spend with an average transaction value of 857.83 INR. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MIN00187,RideNow Mumbai 187,ride-hailing and local transport,Mumbai,IN,APAC,17,46.82,INR,prepaid card,small-ticket,"prepaid instrument, weekend spend, late-night activity","RideNow Mumbai 187 is a ride-hailing and local transport merchant in Mumbai, IN, within the APAC region. Across 17 transactions, it shows small-ticket spend with an average transaction value of 46.82 INR. The merchant most often sees prepaid card usage and is commonly associated with prepaid instrument, weekend spend, late-night activity."
MIN00193,Luxura Retail Mumbai 193,fashion retail,Mumbai,IN,APAC,15,702.4,INR,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Mumbai 193 is a fashion retail merchant in Mumbai, IN, within the APAC region. Across 15 transactions, it shows high-value spend with an average transaction value of 702.4 INR. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MIN00203,PharmaDirect Mumbai 203,pharmacy and wellness,Mumbai,IN,APAC,18,113.0,INR,debit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Mumbai 203 is a pharmacy and wellness merchant in Mumbai, IN, within the APAC region. Across 18 transactions, it shows mid-value spend with an average transaction value of 113.0 INR. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MIN00210,QuickBite Bengaluru 210,quick service dining,Bengaluru,IN,APAC,14,22.79,INR,credit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","QuickBite Bengaluru 210 is a quick service dining merchant in Bengaluru, IN, within the APAC region. Across 14 transactions, it shows small-ticket spend with an average transaction value of 22.79 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MIN00211,PharmaDirect Mumbai 211,pharmacy and wellness,Mumbai,IN,APAC,22,110.14,INR,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","PharmaDirect Mumbai 211 is a pharmacy and wellness merchant in Mumbai, IN, within the APAC region. Across 22 transactions, it shows mid-value spend with an average transaction value of 110.14 INR. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MJP00002,RideNow Tokyo 002,ride-hailing and local transport,Tokyo,JP,APAC,24,39.92,JPY,debit card,small-ticket,"everyday consumer spend, prepaid instrument, late-night activity","RideNow Tokyo 002 is a ride-hailing and local transport merchant in Tokyo, JP, within the APAC region. Across 24 transactions, it shows small-ticket spend with an average transaction value of 39.92 JPY. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, prepaid instrument, late-night activity."
MJP00004,FinServe Online Tokyo 004,financial services,Tokyo,JP,APAC,13,2784.54,JPY,credit card,very high-value,"cash-like financial services, very high-value, high-value","FinServe Online Tokyo 004 is a financial services merchant in Tokyo, JP, within the APAC region. Across 13 transactions, it shows very high-value spend with an average transaction value of 2784.54 JPY. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, high-value."
MJP00006,QuickBite Tokyo 006,quick service dining,Tokyo,JP,APAC,11,19.36,JPY,prepaid card,micro-ticket,"everyday consumer spend, prepaid instrument, weekend spend","QuickBite Tokyo 006 is a quick service dining merchant in Tokyo, JP, within the APAC region. Across 11 transactions, it shows micro-ticket spend with an average transaction value of 19.36 JPY. The merchant most often sees prepaid card usage and is commonly associated with everyday consumer spend, prepaid instrument, weekend spend."
