tran_sequence_number,Transaction_Amount,transaction_currency_code,card_type,ICA_code,issr_id,acquirer_id,transaction_date,transaction_time,transaction_narration
TXN20250225000738,199.23,USD,CREDIT,100179,ISSR_US_319,ACQ_NA_402,2025-02-25,04:01:16,"This transaction was a mid-value credit card payment of 199.23 USD at SkyJet Travel New York 179, a air travel merchant in New York, US, within the NA region. It took place on 2025-02-25 during late-night weekday hours and can be described as travel-related, late-night activity."
TXN20250210000739,173.85,EUR,CREDIT,100122,ISSR_FR_229,ACQ_EMEA_502,2025-02-10,14:44:02,"This transaction was a mid-value credit card payment of 173.85 EUR at UrbanTable Paris 122, a restaurant dining merchant in Paris, FR, within the EMEA region. It took place on 2025-02-10 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250111000740,137.19,AUD,DEBIT,100172,ISSR_AU_276,ACQ_APAC_701,2025-01-11,21:30:00,"This transaction was a mid-value debit card payment of 137.19 AUD at MetroFuel Sydney 172, a fuel and convenience merchant in Sydney, AU, within the APAC region. It took place on 2025-01-11 during evening weekend hours and can be described as weekend spend."
TXN20250222000741,13.11,EUR,DEBIT,100197,ISSR_DE_132,ACQ_EMEA_501,2025-02-22,08:41:30,"This transaction was a micro debit card payment of 13.11 EUR at StreamSphere Berlin 197, a digital subscription services merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-22 during morning weekend hours and can be described as digital recurring, weekend spend."
TXN20250318000742,97.94,GBP,DEBIT,100168,ISSR_GB_118,ACQ_EMEA_501,2025-03-18,09:09:31,"This transaction was a small-ticket debit card payment of 97.94 GBP at MetroFuel London 168, a fuel and convenience merchant in London, GB, within the EMEA region. It took place on 2025-03-18 during morning weekday hours and can be described as everyday consumer spend."
TXN20250218000743,162.31,GBP,CREDIT,100219,ISSR_GB_118,ACQ_EMEA_503,2025-02-18,20:59:41,"This transaction was a mid-value credit card payment of 162.31 GBP at UrbanTable London 219, a restaurant dining merchant in London, GB, within the EMEA region. It took place on 2025-02-18 during evening weekday hours and can be described as everyday consumer spend."
TXN20250226000744,319.72,GBP,CREDIT,100199,ISSR_GB_118,ACQ_EMEA_502,2025-02-26,14:13:21,"This transaction was a mid-value credit card payment of 319.72 GBP at MarketSquare London 199, a general retail merchant in London, GB, within the EMEA region. It took place on 2025-02-26 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250215000745,55.23,EUR,DEBIT,100155,ISSR_DE_238,ACQ_EMEA_502,2025-02-15,13:32:36,"This transaction was a small-ticket debit card payment of 55.23 EUR at MetroFuel Berlin 155, a fuel and convenience merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-15 during afternoon weekend hours and can be described as weekend spend."
TXN20250110000746,26.72,USD,DEBIT,100012,ISSR_US_319,ACQ_NA_402,2025-01-10,20:15:02,"This transaction was a small-ticket debit card payment of 26.72 USD at RideNow San Francisco 012, a ride-hailing and local transport merchant in San Francisco, US, within the NA region. It took place on 2025-01-10 during evening weekday hours and can be described as everyday consumer spend."
TXN20250101000747,42.06,GBP,DEBIT,100160,ISSR_GB_118,ACQ_EMEA_503,2025-01-01,19:30:09,"This transaction was a small-ticket debit card payment of 42.06 GBP at RideNow Manchester 160, a ride-hailing and local transport merchant in Manchester, GB, within the EMEA region. It took place on 2025-01-01 during evening weekday hours and can be described as everyday consumer spend."
TXN20250325000748,19.0,INR,CREDIT,100022,ISSR_IN_188,ACQ_APAC_702,2025-03-25,06:24:00,"This transaction was a micro credit card payment of 19.0 INR at QuickBite Bengaluru 022, a quick service dining merchant in Bengaluru, IN, within the APAC region. It took place on 2025-03-25 during morning weekday hours and can be described as everyday consumer spend."
TXN20250127000749,28.84,AUD,CREDIT,100186,ISSR_AU_276,ACQ_APAC_702,2025-01-27,16:27:15,"This transaction was a small-ticket credit card payment of 28.84 AUD at RideNow Melbourne 186, a ride-hailing and local transport merchant in Melbourne, AU, within the APAC region. It took place on 2025-01-27 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250308000750,192.09,GBP,CREDIT,100199,ISSR_GB_118,ACQ_EMEA_502,2025-03-08,13:54:00,"This transaction was a mid-value credit card payment of 192.09 GBP at MarketSquare London 199, a general retail merchant in London, GB, within the EMEA region. It took place on 2025-03-08 during afternoon weekend hours and can be described as weekend spend."
TXN20250116000751,4507.07,CAD,CREDIT,100209,ISSR_CA_110,ACQ_NA_403,2025-01-16,18:19:07,"This transaction was a very high-value credit card payment of 4507.07 CAD at FinServe Online Vancouver 209, a financial services merchant in Vancouver, CA, within the NA region. It took place on 2025-01-16 during evening weekday hours and can be described as very high-value, cash-like financial services."
TXN20250325000752,6.63,EUR,CREDIT,100052,ISSR_DE_238,ACQ_EMEA_502,2025-03-25,02:28:50,"This transaction was a micro credit card payment of 6.63 EUR at StreamSphere Berlin 052, a digital subscription services merchant in Berlin, DE, within the EMEA region. It took place on 2025-03-25 during late-night weekday hours and can be described as digital recurring, late-night activity."
TXN20250330000753,18.44,CAD,DEBIT,100019,ISSR_CA_110,ACQ_NA_403,2025-03-30,20:26:00,"This transaction was a micro debit card payment of 18.44 CAD at QuickBite Toronto 019, a quick service dining merchant in Toronto, CA, within the NA region. It took place on 2025-03-30 during evening weekend hours and can be described as weekend spend."
TXN20250221000754,536.0,INR,CREDIT,100138,ISSR_IN_302,ACQ_APAC_701,2025-02-21,19:57:31,"This transaction was a high-value credit card payment of 536.0 INR at MediCare Plus Mumbai 138, a healthcare services merchant in Mumbai, IN, within the APAC region. It took place on 2025-02-21 during evening weekday hours and can be described as high-value."
TXN20250125000755,5112.71,CAD,CREDIT,100101,ISSR_CA_110,ACQ_NA_402,2025-01-25,22:38:11,"This transaction was a very high-value credit card payment of 5112.71 CAD at EduPrime Toronto 101, a education services merchant in Toronto, CA, within the NA region. It took place on 2025-01-25 during late-night weekend hours and can be described as very high-value, weekend spend."
TXN20250301000756,25.3,EUR,CREDIT,100058,ISSR_ES_145,ACQ_EMEA_501,2025-03-01,19:53:36,"This transaction was a small-ticket credit card payment of 25.3 EUR at PharmaDirect Madrid 058, a pharmacy and wellness merchant in Madrid, ES, within the EMEA region. It took place on 2025-03-01 during evening weekend hours and can be described as weekend spend."
TXN20250104000757,962.0,INR,CREDIT,100193,ISSR_IN_188,ACQ_APAC_703,2025-01-04,17:52:51,"This transaction was a high-value credit card payment of 962.0 INR at Luxura Retail Mumbai 193, a fashion retail merchant in Mumbai, IN, within the APAC region. It took place on 2025-01-04 during evening weekend hours and can be described as high-value, weekend spend."
TXN20250316000758,2824.78,AED,CREDIT,100020,ISSR_AE_266,ACQ_MEA_601,2025-03-16,02:51:42,"This transaction was a very high-value credit card payment of 2824.78 AED at EduPrime Dubai 020, a education services merchant in Dubai, AE, within the MEA region. It took place on 2025-03-16 during late-night weekend hours and can be described as very high-value, late-night activity, weekend spend."
TXN20250331000759,617.35,EUR,DEBIT,100042,ISSR_FR_229,ACQ_EMEA_502,2025-03-31,08:13:29,"This transaction was a high-value debit card payment of 617.35 EUR at ElectroHub Paris 042, a consumer electronics merchant in Paris, FR, within the EMEA region. It took place on 2025-03-31 during morning weekday hours and can be described as high-value, premium electronics."
TXN20250325000760,1280.98,CAD,CREDIT,100102,ISSR_CA_214,ACQ_NA_403,2025-03-25,20:15:01,"This transaction was a high-value credit card payment of 1280.98 CAD at SkyJet Travel Vancouver 102, a air travel merchant in Vancouver, CA, within the NA region. It took place on 2025-03-25 during evening weekday hours and can be described as high-value, travel-related."
TXN20250206000761,586.0,INR,CREDIT,100009,ISSR_IN_188,ACQ_APAC_702,2025-02-06,01:23:38,"This transaction was a high-value credit card payment of 586.0 INR at SkyJet Travel Bengaluru 009, a air travel merchant in Bengaluru, IN, within the APAC region. It took place on 2025-02-06 during late-night weekday hours and can be described as high-value, travel-related, late-night activity."
TXN20250124000762,1035,JPY,CREDIT,100112,ISSR_JP_174,ACQ_APAC_701,2025-01-24,21:35:39,"This transaction was a high-value credit card payment of 1035 JPY at CloudStay Osaka 112, a lodging and hospitality merchant in Osaka, JP, within the APAC region. It took place on 2025-01-24 during evening weekday hours and can be described as high-value, travel-related."
TXN20250224000763,38.92,GBP,DEBIT,100191,ISSR_GB_224,ACQ_EMEA_502,2025-02-24,20:42:45,"This transaction was a small-ticket debit card payment of 38.92 GBP at FreshMart London 191, a grocery retail merchant in London, GB, within the EMEA region. It took place on 2025-02-24 during evening weekday hours and can be described as everyday consumer spend."
TXN20250314000764,523.73,USD,CREDIT,100034,ISSR_US_205,ACQ_NA_402,2025-03-14,07:34:24,"This transaction was a high-value credit card payment of 523.73 USD at SkyJet Travel New York 034, a air travel merchant in New York, US, within the NA region. It took place on 2025-03-14 during morning weekday hours and can be described as high-value, travel-related."
TXN20250205000765,1525.0,INR,CREDIT,100009,ISSR_IN_188,ACQ_APAC_702,2025-02-05,04:23:47,"This transaction was a high-value credit card payment of 1525.0 INR at SkyJet Travel Bengaluru 009, a air travel merchant in Bengaluru, IN, within the APAC region. It took place on 2025-02-05 during late-night weekday hours and can be described as high-value, travel-related, late-night activity."
TXN20250211000766,970.09,GBP,CREDIT,100183,ISSR_GB_224,ACQ_EMEA_503,2025-02-11,21:04:33,"This transaction was a high-value credit card payment of 970.09 GBP at CloudStay Manchester 183, a lodging and hospitality merchant in Manchester, GB, within the EMEA region. It took place on 2025-02-11 during evening weekday hours and can be described as high-value, travel-related."
TXN20250215000767,15.16,USD,PREPAID,100164,ISSR_US_319,ACQ_NA_401,2025-02-15,13:28:56,"This transaction was a micro prepaid card payment of 15.16 USD at QuickBite New York 164, a quick service dining merchant in New York, US, within the NA region. It took place on 2025-02-15 during afternoon weekend hours and can be described as prepaid instrument, weekend spend."
TXN20250130000768,142.05,EUR,DEBIT,100074,ISSR_DE_238,ACQ_EMEA_502,2025-01-30,01:26:23,"This transaction was a mid-value debit card payment of 142.05 EUR at MetroFuel Berlin 074, a fuel and convenience merchant in Berlin, DE, within the EMEA region. It took place on 2025-01-30 during late-night weekday hours and can be described as late-night activity."
TXN20250127000769,11.5,AUD,CREDIT,100084,ISSR_AU_163,ACQ_APAC_702,2025-01-27,16:15:43,"This transaction was a micro credit card payment of 11.5 AUD at StreamSphere Melbourne 084, a digital subscription services merchant in Melbourne, AU, within the APAC region. It took place on 2025-01-27 during afternoon weekday hours and can be described as digital recurring."
TXN20250126000770,781.19,SGD,CREDIT,100176,ISSR_SG_158,ACQ_APAC_703,2025-01-26,08:10:11,"This transaction was a high-value credit card payment of 781.19 SGD at FinServe Online Singapore 176, a financial services merchant in Singapore, SG, within the APAC region. It took place on 2025-01-26 during morning weekend hours and can be described as high-value, cash-like financial services, weekend spend."
TXN20250224000771,163.16,USD,PREPAID,100190,ISSR_US_205,ACQ_NA_401,2025-02-24,01:52:48,"This transaction was a mid-value prepaid card payment of 163.16 USD at MetroFuel New York 190, a fuel and convenience merchant in New York, US, within the NA region. It took place on 2025-02-24 during late-night weekday hours and can be described as prepaid instrument, late-night activity."
TXN20250131000772,361.4,USD,DEBIT,100116,ISSR_US_205,ACQ_NA_402,2025-01-31,15:11:03,"This transaction was a mid-value debit card payment of 361.4 USD at MarketSquare San Francisco 116, a general retail merchant in San Francisco, US, within the NA region. It took place on 2025-01-31 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250317000773,77.79,AED,DEBIT,100127,ISSR_AE_152,ACQ_MEA_602,2025-03-17,12:30:00,"This transaction was a small-ticket debit card payment of 77.79 AED at FreshMart Dubai 127, a grocery retail merchant in Dubai, AE, within the MEA region. It took place on 2025-03-17 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250116000774,19.73,GBP,CREDIT,100064,ISSR_GB_224,ACQ_EMEA_501,2025-01-16,20:31:47,"This transaction was a micro credit card payment of 19.73 GBP at QuickBite Manchester 064, a quick service dining merchant in Manchester, GB, within the EMEA region. It took place on 2025-01-16 during evening weekday hours and can be described as everyday consumer spend."
TXN20250208000775,193.0,INR,CREDIT,100138,ISSR_IN_302,ACQ_APAC_701,2025-02-08,13:10:39,"This transaction was a mid-value credit card payment of 193.0 INR at MediCare Plus Mumbai 138, a healthcare services merchant in Mumbai, IN, within the APAC region. It took place on 2025-02-08 during afternoon weekend hours and can be described as weekend spend."
TXN20250306000776,32.71,AED,DEBIT,100073,ISSR_AE_152,ACQ_MEA_601,2025-03-06,12:22:05,"This transaction was a small-ticket debit card payment of 32.71 AED at MetroFuel Dubai 073, a fuel and convenience merchant in Dubai, AE, within the MEA region. It took place on 2025-03-06 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250306000777,30.08,SGD,PREPAID,100140,ISSR_SG_271,ACQ_APAC_701,2025-03-06,13:43:27,"This transaction was a small-ticket prepaid card payment of 30.08 SGD at QuickBite Singapore 140, a quick service dining merchant in Singapore, SG, within the APAC region. It took place on 2025-03-06 during afternoon weekday hours and can be described as prepaid instrument."
TXN20250312000778,65.72,USD,DEBIT,100057,ISSR_US_319,ACQ_NA_401,2025-03-12,04:47:07,"This transaction was a small-ticket debit card payment of 65.72 USD at UrbanTable New York 057, a restaurant dining merchant in New York, US, within the NA region. It took place on 2025-03-12 during late-night weekday hours and can be described as late-night activity."
TXN20250209000779,330.2,CAD,DEBIT,100080,ISSR_CA_214,ACQ_NA_401,2025-02-09,11:34:32,"This transaction was a mid-value debit card payment of 330.2 CAD at MarketSquare Vancouver 080, a general retail merchant in Vancouver, CA, within the NA region. It took place on 2025-02-09 during morning weekend hours and can be described as weekend spend."
TXN20250106000780,479.6,EUR,CREDIT,100039,ISSR_NL_149,ACQ_EMEA_501,2025-01-06,03:20:44,"This transaction was a mid-value credit card payment of 479.6 EUR at CloudStay Amsterdam 039, a lodging and hospitality merchant in Amsterdam, NL, within the EMEA region. It took place on 2025-01-06 during late-night weekday hours and can be described as travel-related, late-night activity."
TXN20250218000781,9.88,EUR,CREDIT,100052,ISSR_DE_238,ACQ_EMEA_502,2025-02-18,03:09:57,"This transaction was a micro credit card payment of 9.88 EUR at StreamSphere Berlin 052, a digital subscription services merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-18 during late-night weekday hours and can be described as digital recurring, late-night activity."
TXN20250124000782,1891.0,INR,CREDIT,100017,ISSR_IN_302,ACQ_APAC_702,2025-01-24,11:42:20,"This transaction was a high-value credit card payment of 1891.0 INR at SkyJet Travel Bengaluru 017, a air travel merchant in Bengaluru, IN, within the APAC region. It took place on 2025-01-24 during morning weekday hours and can be described as high-value, travel-related."
TXN20250128000783,31.04,GBP,DEBIT,100188,ISSR_GB_118,ACQ_EMEA_501,2025-01-28,11:57:38,"This transaction was a small-ticket debit card payment of 31.04 GBP at QuickBite London 188, a quick service dining merchant in London, GB, within the EMEA region. It took place on 2025-01-28 during morning weekday hours and can be described as everyday consumer spend."
TXN20250214000784,531.96,USD,CREDIT,100079,ISSR_US_101,ACQ_NA_401,2025-02-14,17:33:35,"This transaction was a high-value credit card payment of 531.96 USD at SkyJet Travel Chicago 079, a air travel merchant in Chicago, US, within the NA region. It took place on 2025-02-14 during evening weekday hours and can be described as high-value, travel-related."
TXN20250329000785,156.39,EUR,CREDIT,100182,ISSR_FR_229,ACQ_EMEA_501,2025-03-29,17:03:34,"This transaction was a mid-value credit card payment of 156.39 EUR at PharmaDirect Paris 182, a pharmacy and wellness merchant in Paris, FR, within the EMEA region. It took place on 2025-03-29 during evening weekend hours and can be described as weekend spend."
TXN20250116000786,4.97,EUR,CREDIT,100197,ISSR_DE_132,ACQ_EMEA_501,2025-01-16,02:15:51,"This transaction was a micro credit card payment of 4.97 EUR at StreamSphere Berlin 197, a digital subscription services merchant in Berlin, DE, within the EMEA region. It took place on 2025-01-16 during late-night weekday hours and can be described as digital recurring, late-night activity."
TXN20250206000787,410.58,EUR,CREDIT,100048,ISSR_DE_132,ACQ_EMEA_502,2025-02-06,07:24:25,"This transaction was a mid-value credit card payment of 410.58 EUR at ElectroHub Berlin 048, a consumer electronics merchant in Berlin, DE, within the EMEA region. It took place on 2025-02-06 during morning weekday hours and can be described as premium electronics."
TXN20250131000788,1775.08,GBP,DEBIT,100027,ISSR_GB_118,ACQ_EMEA_502,2025-01-31,07:05:38,"This transaction was a high-value debit card payment of 1775.08 GBP at FinServe Online Manchester 027, a financial services merchant in Manchester, GB, within the EMEA region. It took place on 2025-01-31 during morning weekday hours and can be described as high-value, cash-like financial services."
TXN20250119000789,775.46,CAD,CREDIT,100102,ISSR_CA_214,ACQ_NA_403,2025-01-19,18:29:35,"This transaction was a high-value credit card payment of 775.46 CAD at SkyJet Travel Vancouver 102, a air travel merchant in Vancouver, CA, within the NA region. It took place on 2025-01-19 during evening weekend hours and can be described as high-value, travel-related, weekend spend."
TXN20250228000790,1481.0,INR,CREDIT,100184,ISSR_IN_302,ACQ_APAC_701,2025-02-28,00:33:18,"This transaction was a high-value credit card payment of 1481.0 INR at CloudStay Mumbai 184, a lodging and hospitality merchant in Mumbai, IN, within the APAC region. It took place on 2025-02-28 during late-night weekday hours and can be described as high-value, travel-related, late-night activity."
TXN20250324000791,53.0,INR,DEBIT,100082,ISSR_IN_302,ACQ_APAC_701,2025-03-24,15:26:30,"This transaction was a small-ticket debit card payment of 53.0 INR at MetroFuel Bengaluru 082, a fuel and convenience merchant in Bengaluru, IN, within the APAC region. It took place on 2025-03-24 during afternoon weekday hours and can be described as everyday consumer spend."
TXN20250225000792,199.0,INR,DEBIT,100211,ISSR_IN_302,ACQ_APAC_702,2025-02-25,06:16:37,"This transaction was a mid-value debit card payment of 199.0 INR at PharmaDirect Mumbai 211, a pharmacy and wellness merchant in Mumbai, IN, within the APAC region. It took place on 2025-02-25 during morning weekday hours and can be described as everyday consumer spend."
TXN20250331000793,10,JPY,CREDIT,100007,ISSR_JP_287,ACQ_APAC_702,2025-03-31,10:25:28,"This transaction was a micro credit card payment of 10 JPY at QuickBite Osaka 007, a quick service dining merchant in Osaka, JP, within the APAC region. It took place on 2025-03-31 during morning weekday hours and can be described as everyday consumer spend."
TXN20250102000794,63.38,GBP,CREDIT,100163,ISSR_GB_224,ACQ_EMEA_502,2025-01-02,01:24:07,"This transaction was a small-ticket credit card payment of 63.38 GBP at FreshMart Manchester 163, a grocery retail merchant in Manchester, GB, within the EMEA region. It took place on 2025-01-02 during late-night weekday hours and can be described as late-night activity."
TXN20250327000795,1075.86,AUD,CREDIT,100060,ISSR_AU_276,ACQ_APAC_703,2025-03-27,10:35:09,"This transaction was a high-value credit card payment of 1075.86 AUD at Luxura Retail Melbourne 060, a fashion retail merchant in Melbourne, AU, within the APAC region. It took place on 2025-03-27 during morning weekday hours and can be described as high-value."
TXN20250215000796,1248.97,SGD,CREDIT,100083,ISSR_SG_158,ACQ_APAC_702,2025-02-15,02:56:01,"This transaction was a high-value credit card payment of 1248.97 SGD at Luxura Retail Singapore 083, a fashion retail merchant in Singapore, SG, within the APAC region. It took place on 2025-02-15 during late-night weekend hours and can be described as high-value, late-night activity, weekend spend."
TXN20250119000797,2627.3,SGD,CREDIT,100176,ISSR_SG_158,ACQ_APAC_703,2025-01-19,18:54:03,"This transaction was a very high-value credit card payment of 2627.3 SGD at FinServe Online Singapore 176, a financial services merchant in Singapore, SG, within the APAC region. It took place on 2025-01-19 during evening weekend hours and can be described as very high-value, cash-like financial services, weekend spend."
TXN20250104000798,41.21,EUR,CREDIT,100148,ISSR_FR_126,ACQ_EMEA_502,2025-01-04,02:08:20,"This transaction was a small-ticket credit card payment of 41.21 EUR at PharmaDirect Paris 148, a pharmacy and wellness merchant in Paris, FR, within the EMEA region. It took place on 2025-01-04 during late-night weekend hours and can be described as late-night activity, weekend spend."
TXN20250317000799,1525.62,USD,CREDIT,100142,ISSR_US_205,ACQ_NA_402,2025-03-17,02:27:16,"This transaction was a high-value credit card payment of 1525.62 USD at SkyJet Travel New York 142, a air travel merchant in New York, US, within the NA region. It took place on 2025-03-17 during late-night weekday hours and can be described as high-value, travel-related, late-night activity."
TXN20250314000800,6.29,USD,DEBIT,100213,ISSR_US_101,ACQ_NA_401,2025-03-14,05:30:11,"This transaction was a micro debit card payment of 6.29 USD at StreamSphere Chicago 213, a digital subscription services merchant in Chicago, US, within the NA region. It took place on 2025-03-14 during late-night weekday hours and can be described as digital recurring, late-night activity."
TXN20250330000801,1127.0,AUD,CREDIT,100206,ISSR_AU_276,ACQ_APAC_701,2025-03-30,10:37:03,"This transaction was a high-value credit card payment of 1127.0 AUD at CloudStay Melbourne 206, a lodging and hospitality merchant in Melbourne, AU, within the APAC region. It took place on 2025-03-30 during morning weekend hours and can be described as high-value, travel-related, weekend spend."
TXN20250216000802,802.23,GBP,CREDIT,100094,ISSR_GB_118,ACQ_EMEA_501,2025-02-16,07:05:21,"This transaction was a high-value credit card payment of 802.23 GBP at Luxura Retail Manchester 094, a fashion retail merchant in Manchester, GB, within the EMEA region. It took place on 2025-02-16 during morning weekend hours and can be described as high-value, weekend spend."
TXN20250301000803,984.03,EUR,CREDIT,100062,ISSR_ES_145,ACQ_EMEA_503,2025-03-01,19:35:57,"This transaction was a high-value credit card payment of 984.03 EUR at ElectroHub Madrid 062, a consumer electronics merchant in Madrid, ES, within the EMEA region. It took place on 2025-03-01 during evening weekend hours and can be described as high-value, premium electronics, weekend spend."
TXN20250302000804,4066.33,CAD,CREDIT,100101,ISSR_CA_110,ACQ_NA_402,2025-03-02,00:13:56,"This transaction was a very high-value credit card payment of 4066.33 CAD at EduPrime Toronto 101, a education services merchant in Toronto, CA, within the NA region. It took place on 2025-03-02 during late-night weekend hours and can be described as very high-value, late-night activity, weekend spend."
TXN20250224000805,59.68,USD,PREPAID,100059,ISSR_US_101,ACQ_NA_401,2025-02-24,06:41:50,"This transaction was a small-ticket prepaid card payment of 59.68 USD at RideNow Chicago 059, a ride-hailing and local transport merchant in Chicago, US, within the NA region. It took place on 2025-02-24 during morning weekday hours and can be described as prepaid instrument."
TXN20250119000806,727.05,CAD,CREDIT,100147,ISSR_CA_214,ACQ_NA_403,2025-01-19,14:14:57,"This transaction was a high-value credit card payment of 727.05 CAD at CloudStay Toronto 147, a lodging and hospitality merchant in Toronto, CA, within the NA region. It took place on 2025-01-19 during afternoon weekend hours and can be described as high-value, travel-related, weekend spend."
TXN20250305000807,3931.88,EUR,CREDIT,100015,ISSR_FR_126,ACQ_EMEA_502,2025-03-05,10:42:25,"This transaction was a very high-value credit card payment of 3931.88 EUR at EduPrime Paris 015, a education services merchant in Paris, FR, within the EMEA region. It took place on 2025-03-05 during morning weekday hours and can be described as very high-value."
TXN20250118000808,12.63,EUR,CREDIT,100197,ISSR_DE_132,ACQ_EMEA_501,2025-01-18,05:53:55,"This transaction was a micro credit card payment of 12.63 EUR at StreamSphere Berlin 197, a digital subscription services merchant in Berlin, DE, within the EMEA region. It took place on 2025-01-18 during late-night weekend hours and can be described as digital recurring, late-night activity, weekend spend."
TXN20250312000809,15,JPY,CREDIT,100215,ISSR_JP_287,ACQ_APAC_703,2025-03-12,12:21:35,"This transaction was a micro credit card payment of 15 JPY at StreamSphere Tokyo 215, a digital subscription services merchant in Tokyo, JP, within the APAC region. It took place on 2025-03-12 during afternoon weekday hours and can be described as digital recurring."
TXN20250211000810,12,JPY,PREPAID,100049,ISSR_JP_174,ACQ_APAC_702,2025-02-11,10:57:22,"This transaction was a micro prepaid card payment of 12 JPY at RideNow Osaka 049, a ride-hailing and local transport merchant in Osaka, JP, within the APAC region. It took place on 2025-02-11 during morning weekday hours and can be described as prepaid instrument."
TXN20250314000811,858.0,INR,CREDIT,100115,ISSR_IN_302,ACQ_APAC_702,2025-03-14,22:18:10,"This transaction was a high-value credit card payment of 858.0 INR at FinServe Online Mumbai 115, a financial services merchant in Mumbai, IN, within the APAC region. It took place on 2025-03-14 during late-night weekday hours and can be described as high-value, cash-like financial services."
TXN20250109000812,70.91,SGD,CREDIT,100033,ISSR_SG_158,ACQ_APAC_703,2025-01-09,20:46:18,"This transaction was a small-ticket credit card payment of 70.91 SGD at UrbanTable Singapore 033, a restaurant dining merchant in Singapore, SG, within the APAC region. It took place on 2025-01-09 during evening weekday hours and can be described as everyday consumer spend."
TXN20250208000813,909.38,CAD,CREDIT,100147,ISSR_CA_214,ACQ_NA_403,2025-02-08,17:27:45,"This transaction was a high-value credit card payment of 909.38 CAD at CloudStay Toronto 147, a lodging and hospitality merchant in Toronto, CA, within the NA region. It took place on 2025-02-08 during evening weekend hours and can be described as high-value, travel-related, weekend spend."
TXN20250320000814,992.72,GBP,CREDIT,100183,ISSR_GB_224,ACQ_EMEA_503,2025-03-20,13:08:38,"This transaction was a high-value credit card payment of 992.72 GBP at CloudStay Manchester 183, a lodging and hospitality merchant in Manchester, GB, within the EMEA region. It took place on 2025-03-20 during afternoon weekday hours and can be described as high-value, travel-related."
TXN20250218000815,2118.78,USD,CREDIT,100079,ISSR_US_101,ACQ_NA_401,2025-02-18,21:31:41,"This transaction was a very high-value credit card payment of 2118.78 USD at SkyJet Travel Chicago 079, a air travel merchant in Chicago, US, within the NA region. It took place on 2025-02-18 during evening weekday hours and can be described as very high-value, travel-related."
TXN20250102000816,18.54,GBP,DEBIT,100064,ISSR_GB_224,ACQ_EMEA_501,2025-01-02,17:05:28,"This transaction was a micro debit card payment of 18.54 GBP at QuickBite Manchester 064, a quick service dining merchant in Manchester, GB, within the EMEA region. It took place on 2025-01-02 during evening weekday hours and can be described as everyday consumer spend."
TXN20250205000817,892.93,USD,CREDIT,100034,ISSR_US_205,ACQ_NA_402,2025-02-05,00:18:25,"This transaction was a high-value credit card payment of 892.93 USD at SkyJet Travel New York 034, a air travel merchant in New York, US, within the NA region. It took place on 2025-02-05 during late-night weekday hours and can be described as high-value, travel-related, late-night activity."
TXN20250130000818,3222.96,EUR,DEBIT,100167,ISSR_NL_255,ACQ_EMEA_502,2025-01-30,11:12:10,"This transaction was a very high-value debit card payment of 3222.96 EUR at FinServe Online Amsterdam 167, a financial services merchant in Amsterdam, NL, within the EMEA region. It took place on 2025-01-30 during morning weekday hours and can be described as very high-value, cash-like financial services."
TXN20250115000819,385.36,AUD,CREDIT,100206,ISSR_AU_276,ACQ_APAC_701,2025-01-15,01:17:07,"This transaction was a mid-value credit card payment of 385.36 AUD at CloudStay Melbourne 206, a lodging and hospitality merchant in Melbourne, AU, within the APAC region. It took place on 2025-01-15 during late-night weekday hours and can be described as travel-related, late-night activity."
TXN20250127000820,95.61,USD,DEBIT,100190,ISSR_US_205,ACQ_NA_401,2025-01-27,11:44:39,"This transaction was a small-ticket debit card payment of 95.61 USD at MetroFuel New York 190, a fuel and convenience merchant in New York, US, within the NA region. It took place on 2025-01-27 during morning weekday hours and can be described as everyday consumer spend."
TXN20250121000821,45.0,INR,PREPAID,100021,ISSR_IN_188,ACQ_APAC_703,2025-01-21,13:25:11,"This transaction was a small-ticket prepaid card payment of 45.0 INR at FreshMart Bengaluru 021, a grocery retail merchant in Bengaluru, IN, within the APAC region. It took place on 2025-01-21 during afternoon weekday hours and can be described as prepaid instrument."
TXN20250223000822,15.5,USD,DEBIT,100012,ISSR_US_319,ACQ_NA_402,2025-02-23,01:41:11,"This transaction was a micro debit card payment of 15.5 USD at RideNow San Francisco 012, a ride-hailing and local transport merchant in San Francisco, US, within the NA region. It took place on 2025-02-23 during late-night weekend hours and can be described as late-night activity, weekend spend."
TXN20250314000823,782.02,USD,CREDIT,100171,ISSR_US_101,ACQ_NA_403,2025-03-14,16:58:20,"This transaction was a high-value credit card payment of 782.02 USD at ElectroHub Chicago 171, a consumer electronics merchant in Chicago, US, within the NA region. It took place on 2025-03-14 during afternoon weekday hours and can be described as high-value, premium electronics."
